"","applicants","sale_price","num_units","year_sold","month_sold","overall_qual","total_sq_feet","gr_liv_area","tot_bathrooms","lot_area","exter_qual","full_bath","central_air","garage_type_attchd","garage_type_basment","garage_type_builtIn","garage_type_detchd","garage_type_no_garage","NeighborhoodBrDale","neighborhood_brk_side","neighborhood_clear_cr","neighborhood_collg_cr","neighborhood_crawfor","neighborhood_edwards","neighborhood_gilbert","neighborhood_idottrr","neighborhood_meadowv","neighborhood_mitchel","neighborhood_n_ames","neighborhood_n_ridge","neighborhood_n_ridge_hghts","neighborhood_n_w_ames","neighborhood_old_town","neighborhood_sawyer","neighborhood_sawyer_w","neighborhood_somerst","neighborhood_stone_br","neighborhood_swisu","neighborhood_timber","neighborhood_veenker","neighborhood_sale_price"
"38",0.4,153000.000000004,5,2009,10,5,3604.33871262713,2357.56671009241,2,3917.26509256951,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"39",2,109000.000000002,2,2010,1,5,3275.30718607374,2041.19595240864,3,3771.25504710675,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"40",0.25,82000.0000000008,4,2008,6,4,2299.32481426557,2174.2578436137,3,3237.38149004936,3,4,"no",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"41",1,160000.000000006,3,2011,12,6,3487.36042927937,2389.42571221908,3,3946.1206894403,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"42",7,170000,1,2007,7,5,3655.58740151201,2394.09027300977,3,5263.22229874652,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243074.457142856
"43",1.66666666666667,143999.999999994,3,2007,12,5,2947.40809591357,1764.89888802698,3,4061.35393209496,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"44",1.5,130249.999999998,4,2008,7,5,3083.25968971696,1856.5519992698,3,4065.63759757486,3,2,"yes",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"45",1.25,140999.999999999,4,2011,5,5,3410.90346434063,2171.57126851076,3,3776.96137500106,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"46",1.25,319899.999999997,4,2010,2,9,4087.92239324387,2822.58667547717,4,3704.54358940978,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"47",2.5,239686,2,2009,8,7,4123.77881647231,3138.48538048839,3,4719.05752718501,4,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"48",3.5,249700.000000009,2,2007,7,8,3997.29365262513,2735.4335463722,3,4434.47174003211,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"49",0.8,113000.000000003,5,2009,6,4,3330.63061984185,2532.12989626474,3,2638.7555616481,3,4,"yes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"50",0.5,126999.999999996,4,2007,1,5,3112.13904416858,1884.31732122011,3,3726.01618853511,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"51",7,177000.000000006,1,2007,7,6,3385.53568425443,2551.18239662948,3,4873.56529147255,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"52",0.25,114499.999999996,4,2011,9,6,3179.72785306709,2206.13811696453,1,3301.49911655881,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"53",0.25,110000.000000005,4,2010,5,5,2859.23771763764,1641.18115532002,3,3903.37423619359,2,2,"no",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"54",0.6,384999.999999992,5,2011,11,9,4168.48643399637,2900.062264397,3,7408.51646046036,4,0,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.624999997
"55",1,129999.999999998,1,2007,2,5,2965.95247092925,2430.90906550838,1,3565.03352769443,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"56",1,180500.000000005,5,2008,7,6,3755.6911386732,2503.10396330747,3,4263.91039941767,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"57",2.33333333333333,172500.000000008,3,2009,8,8,3674.09564362037,2811.06811710272,5,1612.29676673288,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"58",1.4,196500.000000009,5,2011,8,7,3595.63625938865,2794.07755604466,3,4529.52939866098,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"59",0.4,438780.000000021,5,2011,10,10,4437.59681298161,3625.90723183295,5,4846.84399497621,5,6,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,309745.587301588
"60",3,124900.000000004,1,2008,1,5,2786.69763685969,1571.44619334224,1,3583.1593264897,3,2,"yes",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"61",4,157999.999999999,1,2011,5,6,3422.05089201016,2182.28969661334,3,4757.06762245594,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"62",0,101000,4,2007,3,5,2868.07948674489,2118.22864028406,1,3583.1593264897,3,2,"no",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"63",1.25,202499.999999994,4,2007,10,8,3692.39336731085,2442.23757049833,3,3364.20524666732,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"64",0.5,139999.999999994,4,2010,4,7,3401.08569452318,2785.05965831775,3,4287.94446381973,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"65",1.5,219500.000000008,2,2009,2,7,3886.23498752653,3053.4179957065,5,4102.72730930971,3,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"66",4,316999.999999994,1,2007,10,8,4138.52335010499,3355.70087842546,3,4147.56354332747,4,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"67",1.4,179999.999999991,5,2010,7,7,4361.59864931094,3179.67784411857,4,5584.29680134911,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"68",1,225999.999999995,3,2007,6,7,3801.30759431167,2560.62139697943,4,4356.48990707411,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"69",1,79999.9999999985,4,2010,6,4,2717.20080733287,1504.63868764868,1,2704.77118285947,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"70",7,225000.00000001,1,2011,7,7,4127.36567797712,3234.7536525586,3,5104.19755526343,4,4,"yes",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"71",0.75,243999.999999991,4,2007,2,7,4470.85763912771,3190.85093865511,4,4842.37900030331,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"72",1,129499.999999996,2,2007,6,4,2915.38360253157,1695.1572094528,3,3689.32037913598,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"73",5,185000.000000007,1,2009,12,7,3576.82809442741,2792.27817575982,3,4257.32205173703,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"74",1,144900.000000004,3,2010,5,5,3318.82895870799,2083.04142915046,3,4268.74074412545,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"75",0.5,107400,2,2010,5,3,3509.21189581352,2687.05644684888,3,3154.18123983662,4,4,"no",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"76",1,91000.0000000013,1,2009,11,4,2669.14353679948,1936.83280466626,3,618.32829176567,3,2,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.916666666
"77",0.333333333333333,135750.000000002,3,2008,4,4,3107.08021384109,1879.45361830393,1,3904.0711118966,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"78",1,126999.999999996,2,2008,1,5,3151.22559641225,2343.1938494561,3,3940.88485785141,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"79",0.2,136500.000000007,5,2010,4,4,4102.54294687335,2836.64666426648,3,4377.2359157749,3,4,"no",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"80",2,110000.000000005,1,2009,5,5,2896.24349907491,2275.55441513075,2,4314.51878283261,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"81",0.6,193500.000000005,5,2009,6,6,3858.42106483619,3133.43889658702,3,4746.19575666932,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"82",5,153500.000000002,1,2011,3,6,3591.89217689538,2404.53440851967,4,2658.09408255347,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"83",5,245000.000000009,1,2008,10,8,3904.34250629534,2646.04861593817,3,4269.89826534334,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"84",6,126499.999999998,1,2007,7,5,3287.43126960018,2052.8530084411,2,3998.61268972945,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"85",0.5,168500.000000008,4,2009,5,7,3067.75811316841,2555.38461746193,3,3916.80363975574,3,4,"yes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"86",5,260000.000000009,1,2011,4,8,4177.62807436896,3320.27081698922,3,5162.16268863405,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"87",4,174000.000000006,1,2009,3,6,3371.2676819133,2643.07747863388,3,4573.9863645977,4,4,"yes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"88",4,164500.000000006,1,2009,6,6,3048.606616524,2267.99348704036,3,2402.02840008247,4,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"89",0,85000.0000000039,1,2009,10,3,3569.87629657209,2608.99975852483,1,3902.90951530038,2,2,"no",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"90",2,123599.999999997,3,2007,8,4,3170.01243319016,1939.95900142768,3,3807.68806635091,3,2,"yes",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"91",0.75,109899.999999999,4,2011,7,4,2134.93839166172,2016.129242521,1,3583.1593264897,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"92",0.8,98599.9999999974,5,2011,12,5,3525.57065705984,2281.82709040221,1,3909.86883563295,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"93",1.5,163499.999999993,4,2009,8,5,3052.10570810136,1898.8173771665,3,4799.96442582751,3,2,"yes",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"94",0.2,133900.000000005,5,2007,11,6,4088.38130259471,3237.45665214647,3,3583.1593264897,3,4,"no",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"95",0.75,204749.999999997,4,2007,5,6,3614.2270678085,2852.31294186738,5,4094.73272822565,3,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"96",2,185000.000000007,1,2009,4,6,3302.45899885652,2551.18239662948,3,4182.9533836024,5,4,"yes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"97",7,214000.000000002,1,2011,8,7,3929.86186627892,2670.58872536931,3,4281.0526861882,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"98",5,94750.0000000026,1,2007,5,4,3120.53523608009,1892.38967583525,3,4403.18014184111,3,2,"yes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"99",0,82999.9999999971,5,2010,5,5,2484.92284435318,1676.75667314395,1,4349.09347645086,3,2,"no",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"100",4,128950.000000001,1,2010,1,4,3321.04837508916,2269.25620997506,3,4091.14566674687,3,2,"yes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"101",2.5,204999.999999991,2,2010,2,6,3951.98884706768,2691.86673008378,4,4345.01356267023,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"102",2.5,177999.999999996,2,2010,6,6,3527.52257647235,2804.83011954283,3,4066.92088164541,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"103",1,118964.000000006,5,2009,6,5,2760.72505593854,2618.09361547306,3,3532.76592766951,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"104",0.75,198900.000000007,4,2010,5,7,3513.80914206491,2270.51790337606,3,4307.34115135451,3,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"105",0,169499.999999993,4,2007,6,7,3760.19890125409,2879.77841041251,2,3730.0797847545,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"106",7,250000.000000004,1,2008,8,8,3862.12228159758,3021.14591817774,3,4102.72730930971,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"107",5,99999.9999999972,1,2007,8,4,2913.4798073763,2026.50005021622,1,4381.24965852583,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"108",0.25,115000.000000002,4,2008,4,5,2805.14161018724,1589.17675247651,1,3224.30349679417,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"109",0.333333333333333,115000.000000002,3,2007,8,5,3417.87965358383,2599.8521444746,3,3909.86883563295,3,4,"no",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"110",1.66666666666667,189999.999999996,3,2010,1,6,4170.23170861122,2901.74064511534,3,4547.365841363,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"111",1,136899.999999995,3,2011,10,6,3755.12677918015,2910.93934044107,3,4133.97160651521,3,4,"yes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"112",2,179999.999999991,1,2010,4,7,3029.22437340686,2508.52037370465,3,3728.04903517969,3,4,"yes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"113",1,383969.999999982,2,2007,10,7,4284.67687417979,3489.25310359877,5,4222.86064311625,4,4,"yes",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
