Distance,Duration,Reason,Age,Others,Mode,Cost
43,0,vacation,5,20,car,212
81,0,vacation,5,0,car,50
226,0,vacation,4,1,car,180
90,0,vacation,5,0,car,285
153,0,vacation,2,0,car,60
43,0,vacation,5,0,car,420
71,0,vacation,4,6,car,240
225,3,vacation,3,6,car,335
82,2,vacation,1,0,car,60
155,2,vacation,3,4,car,575
122,0,vacation,5,0,car,85
259,0,vacation,3,0,car,260
58,0,vacation,6,0,car,10
71,0,vacation,4,2,car,30
131,0,vacation,5,0,car,162
222,2,vacation,5,1,car,390
67,0,vacation,2,0,car,50
53,0,vacation,4,0,car,30
745,0,vacation,6,3,car,450
719,10,vacation,5,2,car,2350
78,2,vacation,4,0,car,514
93,1,vacation,1,0,car,650
108,2,vacation,5,1,car,290
89,0,vacation,6,5,car,280
317,3,vacation,6,0,car,685
74,0,vacation,3,0,car,35
108,0,vacation,3,1,car,130
208,2,vacation,5,3,car,90
65,0,vacation,5,0,car,43
180,0,vacation,6,0,car,90
336,2,vacation,3,0,car,900
78,1,vacation,5,0,car,222
2598,21,vacation,4,0,car,1900
58,0,vacation,6,0,car,189
533,2,vacation,6,0,car,56
129,0,vacation,4,1,car,370
101,1,vacation,5,1,car,40
110,0,vacation,3,1,car,163
203,4,vacation,5,0,car,280
53,0,vacation,5,0,car,125
184,4,vacation,6,1,car,307
54,3,vacation,4,0,car,108
50,0,vacation,3,1,car,90
415,1,vacation,3,1,car,1060
97,0,vacation,3,0,car,115
215,1,vacation,4,0,car,210
101,3,vacation,2,1,car,200
205,3,vacation,6,0,car,360
227,1,vacation,3,0,car,3030
224,1,vacation,4,0,car,275
3334,0,vacation,6,0,car,320
234,0,vacation,6,2,car,65
129,0,vacation,4,2,car,75
100,0,vacation,5,0,car,100
47,0,vacation,4,0,car,115
84,0,vacation,4,2,car,280
714,4,vacation,2,0,car,1055
48,0,vacation,5,0,car,40
60,0,vacation,2,3,car,65
193,2,vacation,6,3,car,570
444,7,vacation,6,0,car,5460
74,0,vacation,4,0,car,55
63,1,vacation,2,0,car,200
55,0,vacation,6,0,car,55
69,0,vacation,2,12,car,628
406,0,vacation,4,2,car,180
54,0,vacation,4,0,car,10
83,0,vacation,5,1,car,320
260,2,vacation,2,0,car,820
2192,7,vacation,5,1,plane,4220
85,0,vacation,6,0,car,172
37,1,vacation,3,0,car,20
651,9,vacation,6,0,car,300
16,2,vacation,5,0,car,489
64,0,vacation,5,0,car,25
201,0,vacation,6,2,car,90
85,0,vacation,4,0,car,130
78,0,vacation,1,0,car,115
76,0,vacation,4,1,car,66
92,0,vacation,4,0,car,125
75,0,vacation,6,0,car,50
129,0,vacation,1,1,car,50
101,0,vacation,4,2,car,281
121,1,vacation,6,2,car,881
58,0,vacation,5,0,car,120
51,0,vacation,4,1,car,120
134,0,vacation,1,5,car,90
89,0,vacation,3,0,car,40
186,0,vacation,3,0,car,88
73,0,vacation,2,0,car,120
79,0,vacation,2,0,car,291
51,0,vacation,6,0,car,100
216,1,vacation,6,1,car,170
63,2,vacation,1,2,car,395
104,1,vacation,1,1,car,70
82,4,vacation,4,0,car,720
114,0,vacation,6,0,car,120
92,0,vacation,1,1,car,63
68,2,vacation,3,4,car,480
108,0,vacation,2,1,car,190
194,0,vacation,5,0,car,125
163,2,vacation,5,0,car,110
138,2,vacation,3,0,car,580
346,14,vacation,5,0,car,1000
278,0,vacation,2,2,car,243
78,0,vacation,4,0,car,67
69,0,vacation,6,0,car,155
813,8,vacation,4,0,car,3750
432,2,vacation,6,0,car,500
88,1,vacation,6,0,car,60
320,3,vacation,3,0,car,885
80,0,vacation,5,0,car,264
31,3,vacation,5,0,car,140
156,0,vacation,3,1,car,150
1254,8,vacation,5,0,plane,1225
249,2,vacation,2,1,car,945
138,1,vacation,6,0,car,389
97,0,vacation,4,0,car,75
101,2,vacation,2,0,car,150
105,1,vacation,5,0,car,934
101,4,vacation,4,1,car,2390
135,1,vacation,5,0,car,40
201,1,vacation,6,1,car,97
107,0,vacation,5,1,car,90
186,0,vacation,6,0,car,120
118,5,vacation,2,1,car,1080
48,0,vacation,4,0,car,35
274,1,vacation,5,0,car,530
71,0,vacation,6,0,car,100
179,1,vacation,6,3,car,650
53,12,vacation,6,0,car,232
107,0,vacation,6,1,car,270
291,0,vacation,2,0,car,336
78,0,vacation,5,0,car,65
675,5,vacation,4,0,plane,2061
548,4,vacation,6,1,car,500
200,1,vacation,3,0,car,560
48,0,vacation,5,2,car,67
112,0,vacation,5,2,car,120
139,2,vacation,5,0,car,235
90,0,vacation,5,0,car,130
103,0,vacation,6,0,car,0
153,0,vacation,6,1,car,493
151,1,vacation,4,8,car,120
107,0,vacation,4,3,car,170
44,0,vacation,6,0,car,90
64,7,vacation,3,8,car,3872
119,1,vacation,4,0,car,1304
535,4,vacation,6,0,car,917
73,0,vacation,6,0,car,130
61,0,vacation,3,0,car,400
162,0,vacation,4,0,car,55
404,2,vacation,2,0,car,455
46,0,vacation,4,0,car,40
148,0,vacation,4,1,car,285
108,0,vacation,5,2,car,510
65,0,vacation,5,0,car,230
63,0,vacation,2,0,car,50
156,1,vacation,2,2,car,315
136,1,vacation,5,5,car,357
291,2,vacation,3,0,car,550
64,0,vacation,6,0,car,78
95,0,vacation,5,0,car,140
416,1,vacation,4,2,car,410
150,0,vacation,1,2,car,50
126,0,vacation,6,0,car,90
116,0,vacation,6,0,car,90
94,0,vacation,5,1,car,260
310,13,vacation,5,0,car,950
83,1,vacation,4,0,car,140
182,4,vacation,2,0,car,813
54,3,vacation,4,0,car,108
73,0,vacation,6,1,car,420
165,1,vacation,5,1,car,300
74,0,vacation,5,0,car,50
84,0,vacation,4,1,car,225
110,2,vacation,5,1,car,445
214,2,vacation,4,1,car,480
111,0,vacation,5,0,car,550
196,1,vacation,1,2,car,50
57,0,vacation,5,2,car,50
128,0,vacation,3,3,car,198
87,0,vacation,4,2,car,225
111,2,vacation,2,0,car,515
128,0,vacation,6,0,car,470
40,0,vacation,6,1,car,0
98,3,vacation,3,0,car,205
440,5,vacation,6,1,car,1315
99,0,vacation,4,0,car,70
264,1,vacation,2,2,car,1800
144,3,vacation,2,2,car,147
96,1,vacation,6,2,car,278
50,0,vacation,5,0,car,45
106,0,vacation,6,0,car,640
320,2,vacation,5,0,car,360
192,3,vacation,2,20,car,679
45,3,vacation,5,0,car,943
91,0,vacation,6,1,car,50
194,0,vacation,4,0,car,70
79,0,vacation,3,0,car,114
302,1,vacation,3,0,car,80
261,1,vacation,3,0,car,740
95,0,vacation,1,2,car,601
40,0,vacation,6,0,car,30
68,0,vacation,6,0,car,50
296,6,vacation,4,4,car,825
271,0,vacation,2,1,car,830
84,0,vacation,3,0,car,330
270,0,vacation,2,0,car,170
58,0,vacation,6,0,car,235
55,0,vacation,3,0,car,100
499,5,vacation,4,0,car,160
97,0,vacation,4,1,car,15
135,2,vacation,2,0,car,243
46,0,vacation,5,1,car,10
217,0,vacation,3,0,car,150
153,0,vacation,4,0,car,60
264,2,vacation,1,0,car,130
240,0,vacation,6,0,car,75
89,0,vacation,3,0,car,630
63,0,vacation,3,1,car,200
113,0,vacation,5,0,car,180
89,0,vacation,6,0,car,95
476,9,vacation,6,0,car,1040
89,0,vacation,5,0,car,70
62,2,vacation,5,0,car,889
29,1,vacation,4,10,car,445
52,1,vacation,5,0,car,40
402,4,vacation,5,4,car,730
79,0,vacation,1,0,car,140
121,0,vacation,2,1,car,220
476,6,vacation,5,0,plane,4235
180,2,vacation,5,0,car,40
68,1,vacation,3,2,car,591
161,0,vacation,6,2,car,468
91,0,vacation,3,1,car,160
249,4,vacation,5,0,car,850
65,0,vacation,5,0,car,70
45,0,vacation,6,1,car,135
91,2,vacation,2,7,car,1090
207,10,vacation,6,0,car,900
337,0,vacation,6,0,car,80
82,0,vacation,3,1,car,70
81,0,vacation,6,2,car,40
2966,7,vacation,3,0,plane,2536
103,4,vacation,5,0,car,990
347,4,vacation,2,2,car,670
121,0,vacation,6,1,car,88
80,2,vacation,6,0,car,65
50,2,vacation,5,3,car,850
864,1,vacation,4,0,car,366
194,0,vacation,2,0,car,85
68,0,vacation,6,1,car,62
522,3,vacation,2,0,car,380
135,0,vacation,3,1,car,490
172,0,vacation,2,1,car,100
47,0,vacation,2,0,car,75
112,1,vacation,5,0,car,810
79,1,vacation,5,0,car,340
256,5,vacation,5,0,car,920
124,0,vacation,6,0,car,150
85,0,vacation,6,0,car,164
62,0,vacation,3,0,car,280
97,2,vacation,3,2,car,970
194,2,vacation,5,0,car,60
99,0,vacation,4,0,car,117
281,2,vacation,4,0,car,445
52,0,vacation,3,2,car,55
123,2,vacation,5,0,car,594
50,0,vacation,2,2,car,60
76,2,vacation,2,10,car,300
138,2,vacation,5,0,car,1099
46,0,vacation,6,1,car,200
336,2,vacation,6,2,car,2200
121,8,vacation,6,0,car,1430
80,0,vacation,4,1,car,70
176,7,vacation,6,2,car,720
69,1,vacation,6,0,car,344
101,0,vacation,3,1,car,130
107,0,vacation,2,1,car,294
76,0,vacation,6,0,car,175
202,5,vacation,6,0,car,250
1239,1,vacation,5,0,car,85
76,0,vacation,4,2,car,155
152,1,vacation,3,2,car,147
3535,2,vacation,6,0,plane,1863
145,1,vacation,4,0,car,387
168,0,vacation,6,0,car,170
90,0,vacation,4,3,car,110
199,2,vacation,3,0,car,290
45,0,vacation,5,1,car,150
89,0,vacation,6,2,car,120
148,2,vacation,1,9,car,285
165,2,vacation,3,2,car,185
456,8,vacation,5,1,car,4577
417,3,vacation,5,3,car,160
281,2,vacation,3,2,car,1371
91,1,vacation,4,0,car,634
231,1,vacation,1,1,car,525
69,0,vacation,4,3,car,190
63,0,vacation,6,1,car,115
109,3,vacation,4,6,car,635
95,0,vacation,3,0,car,40
231,0,vacation,6,0,car,890
274,3,vacation,2,1,car,1975
67,0,vacation,6,0,car,90
94,2,vacation,4,0,car,854
274,1,vacation,4,1,car,551
116,0,vacation,5,0,car,70
98,0,vacation,4,0,car,395
123,2,vacation,5,0,car,155
70,0,vacation,6,0,car,125
83,2,vacation,3,0,car,230
114,0,vacation,5,1,car,95
123,0,vacation,6,0,car,200
89,2,vacation,2,0,car,30
87,0,vacation,3,1,car,175
64,2,vacation,5,0,car,180
38,1,vacation,5,2,car,370
139,3,vacation,4,0,car,1380
40,4,vacation,4,2,car,0
446,3,vacation,2,0,car,1150
140,0,vacation,6,2,car,75
147,0,vacation,5,0,car,120
61,0,vacation,6,0,car,75
89,2,vacation,4,0,car,185
99,0,vacation,6,9,car,80
54,2,vacation,3,1,car,925
642,5,vacation,6,1,car,1780
89,0,vacation,2,0,car,140
73,2,vacation,3,0,car,610
80,0,vacation,4,2,car,330
209,2,vacation,4,1,car,150
52,0,vacation,6,0,car,125
56,1,vacation,5,0,car,120
89,0,vacation,5,0,car,50
80,0,vacation,6,1,car,48
60,0,vacation,5,1,car,47
859,11,vacation,5,0,plane,1726
87,2,vacation,3,0,car,1017
594,9,vacation,2,0,car,170
209,0,vacation,1,0,car,80
184,1,vacation,3,0,car,450
66,0,vacation,6,0,car,30
81,3,vacation,3,0,car,280
133,5,vacation,5,0,car,170
485,1,vacation,3,1,car,420
89,0,vacation,2,0,car,0
112,2,vacation,3,3,car,650
818,4,vacation,4,0,plane,100
229,1,vacation,5,0,car,480
84,0,vacation,5,5,car,152
52,0,vacation,6,0,car,50
186,13,vacation,2,0,car,200
178,2,vacation,5,3,car,425
235,0,vacation,3,0,car,30
54,0,vacation,6,3,car,33
602,2,vacation,3,0,car,310
3210,6,vacation,4,0,plane,900
47,0,vacation,4,0,car,45
75,0,vacation,5,0,car,50
463,3,vacation,6,0,car,815
232,6,vacation,6,0,car,0
106,2,vacation,5,0,car,735
129,0,vacation,4,0,car,110
123,0,vacation,6,0,car,135
67,14,vacation,5,0,car,1375
108,0,vacation,5,1,car,62
255,2,vacation,3,0,car,60
224,2,vacation,2,1,car,938
291,1,vacation,4,0,car,433
120,0,vacation,5,1,car,418
180,0,vacation,4,0,car,110
2600,5,vacation,2,0,plane,1200
172,1,vacation,2,0,car,565
180,2,vacation,2,2,car,231
87,5,vacation,2,0,plane,795
68,2,vacation,3,0,car,530
102,1,vacation,5,2,car,255
43,0,vacation,6,0,car,200
66,0,vacation,3,1,car,195
124,0,vacation,5,0,car,205
214,2,vacation,5,1,car,300
403,2,vacation,3,0,car,430
496,1,vacation,3,0,plane,1165
94,0,vacation,4,0,car,310
54,0,vacation,5,0,car,80
102,0,vacation,5,0,car,40
209,0,vacation,5,0,car,365
61,0,vacation,6,0,car,70
143,2,vacation,3,8,car,340
207,1,vacation,3,2,car,340
443,0,vacation,5,1,car,550
40,0,vacation,6,0,car,110
51,0,vacation,6,3,car,120
29,1,vacation,4,0,car,80
135,0,vacation,2,1,car,220
133,0,vacation,6,0,car,200
132,0,vacation,5,0,car,75
68,0,vacation,3,0,car,145
145,2,vacation,6,6,car,405
101,0,vacation,5,1,car,35
224,1,vacation,3,0,car,270
131,0,vacation,6,0,car,170
105,2,vacation,1,1,car,150
196,2,vacation,5,1,car,232
151,0,vacation,4,0,car,168
78,3,vacation,5,0,car,350
96,0,vacation,1,0,car,70
174,2,vacation,4,0,car,1920
57,0,vacation,6,1,car,224
69,0,vacation,6,0,car,145
45,2,vacation,3,1,car,633
82,0,vacation,1,0,car,50
190,6,vacation,5,0,car,100
236,1,vacation,4,2,car,520
629,8,vacation,6,1,car,2259
86,1,vacation,4,0,car,570
214,2,vacation,4,0,car,750
1544,1,vacation,5,1,plane,900
244,6,vacation,5,0,car,745
471,8,vacation,3,1,car,970
294,4,vacation,3,1,car,1495
1486,17,vacation,5,0,car,4125
747,5,vacation,6,0,car,1370
110,3,vacation,4,1,car,914
301,1,vacation,6,1,car,140
89,0,vacation,4,1,car,165
211,3,vacation,3,2,car,1506
39,3,vacation,6,0,car,111
130,0,vacation,4,0,car,250
37,2,vacation,6,0,car,195
75,0,vacation,6,0,car,130
76,2,vacation,6,5,car,837
41,0,vacation,5,0,car,45
64,2,vacation,2,0,car,240
57,0,vacation,6,1,car,118
202,0,vacation,5,0,car,100
1838,36,vacation,6,0,plane,4800
81,0,vacation,6,0,car,30
78,0,vacation,3,0,car,240
84,2,vacation,2,5,car,859
54,0,vacation,2,1,car,150
535,1,vacation,6,0,car,401
953,3,vacation,4,1,plane,970
27,1,vacation,2,2,car,150
407,2,vacation,4,1,car,578
81,1,vacation,4,0,car,80
265,0,vacation,5,0,car,705
121,1,vacation,4,0,car,167
3270,7,vacation,5,0,plane,2237
65,0,vacation,4,2,car,450
66,0,vacation,3,0,car,170
148,5,vacation,1,3,car,800
223,2,vacation,3,2,car,495
41,0,vacation,5,0,car,85
646,1,vacation,4,0,car,535
97,0,vacation,5,0,car,50
52,0,vacation,4,0,car,20
61,0,vacation,5,0,car,25
325,2,vacation,6,4,car,1600
63,2,vacation,2,16,car,250
55,2,vacation,3,1,car,451
186,0,vacation,6,0,car,215
129,0,vacation,3,0,car,150
67,0,vacation,3,0,car,150
443,4,vacation,5,1,car,1465
87,3,vacation,5,0,car,1025
60,2,vacation,4,1,car,160
90,3,vacation,6,0,car,714
49,0,vacation,5,0,car,35
28,1,vacation,6,0,car,0
110,2,vacation,4,0,car,850
50,0,vacation,3,1,car,130
118,1,vacation,2,1,car,107
61,0,vacation,5,0,car,33
251,2,vacation,1,0,car,128
81,0,vacation,3,0,car,60
84,0,vacation,4,0,car,57
121,3,vacation,6,0,car,75
71,0,vacation,4,0,car,70
206,1,vacation,5,0,car,942
236,4,vacation,4,0,car,1050
106,0,vacation,5,5,car,670
205,0,vacation,4,0,car,590
463,7,vacation,6,0,car,825
104,0,vacation,5,0,car,125
213,2,vacation,4,0,car,1140
89,0,vacation,2,1,car,240
211,0,vacation,4,0,car,100
236,7,vacation,6,0,car,2314
132,0,vacation,3,3,car,238
46,0,vacation,5,1,car,60
107,0,vacation,2,3,car,208
82,0,vacation,1,1,car,150
113,0,vacation,5,0,car,70
107,0,vacation,2,0,car,44
953,1,vacation,5,0,car,249
102,1,vacation,2,1,car,300
56,0,vacation,6,0,car,20
105,0,vacation,4,1,car,212
51,3,vacation,5,0,car,760
91,0,vacation,2,3,car,270
74,0,vacation,2,3,car,312
79,0,vacation,3,0,car,225
214,0,vacation,6,0,car,30
127,1,vacation,6,2,car,565
98,0,vacation,3,1,car,525
132,0,vacation,2,0,car,120
191,0,vacation,5,0,car,810
92,0,vacation,5,0,car,17
355,2,vacation,3,3,car,212
109,0,vacation,4,0,car,95
17,1,vacation,2,0,car,480
64,0,vacation,3,0,car,260
85,0,vacation,1,1,car,80
88,7,vacation,2,0,car,350
2218,0,vacation,3,0,plane,470
87,0,vacation,6,0,car,50
82,1,vacation,2,2,car,750
100,3,vacation,6,1,car,1775
127,4,vacation,3,1,car,400
89,1,vacation,2,0,car,70
69,0,vacation,2,1,car,422
67,1,vacation,3,0,car,380
85,0,vacation,5,0,car,137
109,2,vacation,6,0,car,365
298,1,vacation,3,1,car,734
121,0,vacation,4,0,car,625
1230,2,vacation,5,1,plane,980
2368,5,vacation,3,0,plane,3050
173,3,vacation,4,1,car,329
46,0,vacation,6,3,car,50
232,1,vacation,5,0,car,35
73,0,vacation,5,0,car,65
182,0,vacation,5,0,car,537
82,0,vacation,6,0,car,60
548,0,vacation,6,2,car,39
112,0,vacation,2,0,car,175
78,0,vacation,6,1,car,0
3278,2,vacation,3,1,plane,875
99,1,vacation,6,1,car,397
67,0,vacation,5,0,car,20
52,2,vacation,4,0,car,135
57,0,vacation,2,0,car,90
668,5,vacation,2,0,plane,1950
67,0,vacation,5,0,car,60
132,0,vacation,4,1,car,280
56,0,vacation,3,0,car,100
85,0,vacation,4,1,car,120
81,4,vacation,3,6,car,920
69,0,vacation,4,0,car,40
39,2,vacation,6,0,car,755
720,2,vacation,4,1,car,2420
1547,11,vacation,2,4,plane,1990
133,0,vacation,3,0,car,175
57,0,vacation,2,0,car,130
73,0,vacation,5,0,car,20
56,0,vacation,6,1,car,60
47,0,vacation,4,0,car,50
847,4,vacation,3,0,plane,4160
168,3,vacation,2,0,car,450
50,0,vacation,4,1,car,177
86,0,vacation,4,1,car,150
39,1,vacation,5,0,car,45
70,0,vacation,5,0,car,53
100,0,vacation,2,1,car,30
178,0,vacation,6,1,car,230
249,7,vacation,5,0,car,1290
67,0,vacation,2,1,car,45
78,0,vacation,3,0,car,180
49,0,vacation,5,0,car,40
210,2,vacation,5,0,car,295
182,0,vacation,5,1,car,60
291,3,vacation,2,0,car,526
44,0,vacation,6,1,car,140
34,4,vacation,4,2,car,330
82,0,vacation,5,1,car,70
69,2,vacation,4,0,car,560
221,0,vacation,2,1,car,180
137,1,vacation,5,0,car,180
163,1,vacation,2,3,car,1008
94,2,vacation,3,2,car,100
7,2,vacation,4,8,car,1150
73,0,vacation,6,1,car,127
83,0,vacation,5,0,car,70
178,2,vacation,6,0,car,0
52,1,vacation,4,0,car,160
287,3,vacation,5,0,car,490
345,2,vacation,3,0,plane,1450
139,2,vacation,6,0,car,260
211,2,vacation,1,1,car,70
133,5,vacation,5,0,car,2010
171,9,vacation,6,0,car,442
70,0,vacation,5,0,car,10
107,0,vacation,2,2,car,95
89,0,vacation,6,1,car,50
52,0,vacation,4,3,car,150
224,3,vacation,2,0,car,1720
226,2,vacation,6,0,car,295
268,4,vacation,5,4,car,850
939,16,vacation,5,2,car,4900
194,2,vacation,6,0,car,105
160,0,vacation,1,8,car,140
118,0,vacation,5,1,car,80
194,0,vacation,4,6,car,315
61,1,vacation,6,0,car,350
127,1,vacation,5,0,car,800
261,1,vacation,2,2,car,900
133,1,vacation,2,0,car,150
87,0,vacation,5,2,car,300
89,2,vacation,5,12,car,290
215,0,vacation,5,0,car,360
151,0,vacation,3,1,car,100
419,1,vacation,3,2,car,555
40,0,vacation,2,0,car,261
168,2,vacation,2,2,car,1190
204,1,vacation,5,0,car,150
243,0,vacation,3,0,car,20
651,6,vacation,4,1,car,1340
216,0,vacation,4,0,car,85
55,0,vacation,5,0,car,210
129,2,vacation,4,0,car,520
72,1,vacation,2,1,car,70
63,0,vacation,4,0,car,56
112,0,vacation,6,2,car,0
73,0,vacation,5,2,car,456
144,0,vacation,5,0,car,80
41,0,vacation,6,2,car,139
43,0,vacation,6,0,car,6
47,0,vacation,5,0,car,150
58,0,vacation,4,4,car,147
128,5,vacation,2,3,car,3900
133,1,vacation,4,0,car,135
1298,2,vacation,4,0,plane,3064
148,0,vacation,3,2,car,390
722,2,vacation,5,0,car,462
78,0,vacation,6,0,car,60
235,1,vacation,4,0,car,630
80,1,vacation,3,0,car,395
68,0,vacation,4,1,car,55
485,2,vacation,3,0,car,900
70,0,vacation,5,5,car,900
27,0,vacation,1,0,car,195
465,2,vacation,6,0,car,120
349,3,vacation,5,0,car,460
82,0,vacation,5,0,car,80
208,0,vacation,6,0,car,200
79,2,vacation,3,1,car,1200
298,3,vacation,4,2,car,1433
63,0,vacation,6,0,car,275
203,0,vacation,5,2,car,45
55,5,vacation,6,0,car,899
77,0,vacation,2,3,car,25
89,0,vacation,4,1,car,55
46,0,vacation,5,1,car,28
96,0,vacation,6,0,car,280
82,0,vacation,5,1,car,82
15,1,vacation,2,0,car,250
336,0,vacation,4,1,car,850
224,1,vacation,3,1,car,400
44,0,vacation,4,0,car,165
63,0,vacation,4,0,car,120
45,0,vacation,6,1,car,140
239,2,vacation,5,1,car,560
51,0,vacation,6,0,car,155
94,0,vacation,2,0,car,93
89,0,vacation,5,0,car,150
107,8,vacation,5,3,car,747
173,0,vacation,6,2,car,137
54,1,vacation,4,2,car,385
42,0,vacation,2,2,car,20
235,1,vacation,5,0,car,138
63,0,vacation,5,0,car,125
150,3,vacation,4,5,car,230
69,0,vacation,3,0,car,62
132,1,vacation,3,0,car,495
55,0,vacation,4,0,car,270
78,0,vacation,3,1,car,80
71,2,vacation,4,1,car,460
98,0,vacation,5,0,car,30
41,0,vacation,6,0,car,35
78,2,vacation,5,0,car,540
52,0,vacation,6,1,car,50
127,1,vacation,5,0,car,300
317,0,vacation,6,0,car,60
369,3,vacation,5,2,car,970
43,0,vacation,6,3,car,170
81,0,vacation,1,0,car,200
79,0,vacation,5,0,car,132
136,2,vacation,2,1,car,970
142,2,vacation,2,0,car,50
171,2,vacation,1,1,car,615
189,1,vacation,3,0,car,300
91,0,vacation,2,0,car,50
53,0,vacation,5,1,car,140
134,0,vacation,4,3,car,150
172,0,vacation,5,0,car,195
74,0,vacation,6,2,car,25
189,2,vacation,2,0,car,550
119,2,vacation,6,0,car,120
148,0,vacation,5,0,car,100
102,0,vacation,3,0,car,200
243,1,vacation,2,4,car,235
85,0,vacation,5,0,car,220
739,9,vacation,5,0,plane,3006
93,3,vacation,5,0,car,225
48,0,vacation,4,1,car,109
136,1,vacation,3,4,car,645
18,1,vacation,2,0,car,884
866,2,vacation,3,1,plane,1200
53,2,vacation,2,0,car,30
38,1,vacation,5,0,car,70
2878,7,vacation,3,0,plane,2960
993,6,vacation,5,0,plane,2568
194,0,vacation,6,0,car,140
63,0,vacation,5,0,car,62
560,4,vacation,3,3,car,1305
62,1,vacation,5,0,car,50
143,2,vacation,1,0,car,90
75,0,vacation,2,1,car,125
56,2,vacation,5,0,car,755
208,0,vacation,1,1,car,105
336,3,vacation,3,0,car,1030
287,2,vacation,5,0,car,1050
41,1,vacation,3,0,car,270
99,1,vacation,6,0,car,300
108,1,vacation,5,0,car,162
100,0,vacation,4,3,car,60
535,8,vacation,3,4,car,1950
268,3,vacation,1,1,car,120
123,2,vacation,6,1,car,50
496,10,vacation,3,1,car,1222
61,0,vacation,5,0,car,40
190,2,vacation,2,2,car,270
34,1,vacation,2,0,car,350
49,3,vacation,6,0,car,310
313,6,vacation,6,3,car,2959
172,2,vacation,2,4,car,795
60,0,vacation,3,4,car,82
169,2,vacation,3,1,car,850
57,0,vacation,6,0,car,90
75,0,vacation,4,3,car,234
45,0,vacation,2,3,car,221
327,3,vacation,5,0,car,1850
83,0,vacation,6,2,car,320
101,0,vacation,5,0,car,370
79,0,vacation,6,0,car,190
231,0,vacation,2,0,car,430
86,1,vacation,1,2,car,235
344,1,vacation,3,1,car,718
84,0,vacation,6,1,car,100
236,14,vacation,5,0,car,850
394,2,vacation,6,0,car,150
200,0,vacation,3,0,car,80
41,0,vacation,4,0,car,25
148,2,vacation,2,2,car,0
128,0,vacation,6,0,car,50
123,2,vacation,5,2,car,1577
63,0,vacation,5,0,car,90
101,4,vacation,6,0,car,160
298,0,vacation,2,0,car,200
73,0,vacation,4,0,car,90
74,0,vacation,4,0,car,90
298,2,vacation,2,1,car,505
2116,5,vacation,2,3,plane,1814
1903,3,vacation,4,4,plane,1450
117,0,vacation,2,1,car,560
203,5,vacation,5,0,car,1940
315,0,vacation,5,0,car,1020
306,0,vacation,4,1,car,115
90,0,vacation,4,1,car,440
91,1,vacation,5,0,car,745
78,0,vacation,2,0,car,30
89,0,vacation,6,0,car,20
89,0,vacation,6,2,car,185
79,0,vacation,4,0,car,40
118,0,vacation,3,1,car,360
59,0,vacation,6,0,car,140
1189,3,vacation,4,0,plane,2096
85,0,vacation,5,0,car,70
186,0,vacation,5,2,car,80
421,2,vacation,2,3,car,325
533,0,vacation,4,1,car,100
174,0,vacation,6,0,car,50
109,0,vacation,3,1,car,350
157,16,vacation,5,0,car,875
93,0,vacation,4,0,car,130
645,4,vacation,4,0,car,1150
27,0,vacation,6,0,car,312
43,3,vacation,5,0,car,0
60,1,vacation,1,0,car,380
231,2,vacation,5,1,car,740
118,1,vacation,2,1,car,675
203,0,vacation,5,0,car,335
304,4,vacation,2,0,car,1346
69,7,vacation,5,0,car,540
53,0,vacation,6,0,car,340
