age,education_num,marital_status,occupation,cap_gain,hours_per_week,score,value_flag
47,14,Never-married,Group 5,0,50,63.19,Low
20,10,Never-married,Group 4,0,40,55.53,Low
29,9,Never-married,Group 3,0,40,54.8,Low
32,9,Married-civ-spouse,Group 3,7688,40,56.1,High
17,6,Never-married,Group NA,34095,32,62.07,Low
30,7,Never-married,Group 1,0,40,62.69,Low
31,9,Never-married,Group 2,0,40,58.06,Low
42,9,Married-civ-spouse,Group 1,0,40,59.56,Low
24,13,Never-married,Group 3,0,40,59.68,Low
38,15,Married-civ-spouse,Group 5,0,40,59.62,High
56,9,Married-civ-spouse,Group 1,0,50,62.88,High
28,10,Married-civ-spouse,Group 3,4064,25,56.26,Low
36,9,Never-married,Group 2,0,40,59.17,Low
53,5,Married-civ-spouse,Group 1,0,50,64.47,Low
56,10,Married-civ-spouse,Group 3,0,50,65.52,Low
49,11,Married-civ-spouse,Group 3,0,40,65.38,High
55,10,Married-civ-spouse,Group 3,0,56,63.05,Low
22,9,Never-married,Group 3,0,41,60.4,Low
21,10,Never-married,Group 1,0,40,66.18,Low
40,13,Married-civ-spouse,Group 5,0,60,53.69,Low
30,13,Never-married,Group 5,0,40,58.54,Low
29,13,Married-civ-spouse,Group 5,0,50,62.83,High
19,10,Never-married,Group 1,0,35,63.8,Low
47,13,Married-civ-spouse,Group 5,0,40,60.15,High
20,10,Never-married,Group 2,0,28,68.71,Low
31,12,Married-civ-spouse,Group 2,0,40,59.86,High
35,9,Married-civ-spouse,Group NA,0,40,54.84,Low
39,10,Divorced,Group 3,0,40,60.89,Low
28,12,Never-married,Group 3,0,60,58.98,Low
24,9,Never-married,Group 1,0,40,49.84,Low
38,9,Married-civ-spouse,Group 3,4386,35,56.87,Low
37,13,Married-civ-spouse,Group 3,0,50,60.14,Low
46,12,Divorced,Group 4,0,36,56.23,Low
38,14,Married-civ-spouse,Group 5,0,40,59.64,High
43,9,Married-civ-spouse,Group 3,0,60,59.86,Low
27,11,Married-civ-spouse,Group 2,0,35,53.23,Low
20,10,Never-married,Group 3,0,20,62.3,Low
49,10,Married-civ-spouse,Group 3,0,40,68.2,High
61,9,Married-civ-spouse,Group 3,0,40,60.53,Low
27,10,Never-married,Group 3,0,40,63.77,Low
19,10,Never-married,Group 1,0,30,66.01,Low
45,11,Never-married,Group 5,0,40,59.88,High
70,10,Never-married,Group 4,0,40,62.13,Low
31,9,Never-married,Group 3,0,30,55.9,Low
22,10,Married-civ-spouse,Group 1,0,24,63.85,Low
36,9,Widowed,Group 1,0,24,53.93,Low
64,7,Married-civ-spouse,Group 3,0,40,58.51,Low
43,10,Divorced,Group NA,0,40,59.36,Low
47,10,Divorced,Group 2,0,38,60.74,Low
34,9,Never-married,Group 2,0,40,57.9,Low
33,13,Never-married,Group 5,0,40,60.19,Low
21,9,Never-married,Group 3,0,35,55.7,Low
52,9,Divorced,Group NA,0,45,57.24,High
48,9,Married-civ-spouse,Group 3,0,46,60.03,Low
23,13,Never-married,Group 1,0,40,63.88,Low
71,10,Separated,Group 3,0,2,51.88,Low
29,9,Divorced,Group 3,0,60,50.82,Low
42,13,Separated,Group 1,0,50,58.8,Low
68,2,Divorced,Group NA,0,20,53.15,Low
25,9,Never-married,Group 1,0,40,55.78,Low
44,14,Divorced,Group 5,0,40,63.78,Low
28,9,Never-married,Group 5,0,40,62.93,Low
45,14,Married-civ-spouse,Group 3,0,40,53.36,High
36,10,Divorced,Group 1,0,40,59.39,Low
39,12,Never-married,Group 5,0,42,55.73,Low
46,14,Widowed,Group 4,0,40,60.69,Low
18,7,Never-married,Group 1,0,16,63.88,Low
66,11,Widowed,Group 5,0,20,64.18,Low
27,9,Never-married,Group 1,0,40,55.25,Low
28,9,Married-civ-spouse,Group 4,0,40,57.97,Low
51,10,Married-civ-spouse,Group 3,0,40,60.16,High
27,13,Never-married,Group 3,0,50,54.57,Low
28,13,Married-civ-spouse,Group 5,0,40,60.79,High
27,9,Married-spouse-absent,Group 3,0,25,65.07,Low
21,9,Never-married,Group 3,0,40,53.99,Low
34,9,Never-married,Group 1,0,40,59.62,Low
18,9,Never-married,Group 1,0,12,59.09,Low
33,13,Married-civ-spouse,Group 5,0,65,52.11,Low
44,10,Married-civ-spouse,Group 5,0,38,59.79,High
43,10,Divorced,Group 2,0,40,58.28,Low
30,10,Never-married,Group 3,0,45,56.01,Low
40,4,Married-civ-spouse,Group 2,0,40,58.96,High
37,10,Married-civ-spouse,Group 2,0,42,62.04,High
34,9,Married-civ-spouse,Group 2,0,40,58.41,Low
41,13,Divorced,Group 5,0,40,64.01,Low
53,13,Divorced,Group NA,0,50,59.97,Low
31,14,Married-civ-spouse,Group 5,0,50,63.09,Low
58,16,Married-civ-spouse,Group 5,0,1,60.89,High
38,10,Divorced,Group 2,0,28,57.64,Low
24,10,Married-civ-spouse,Group 2,0,40,67.97,Low
41,13,Married-civ-spouse,Group 3,0,40,57.52,Low
47,10,Married-civ-spouse,Group 4,0,45,59.64,Low
41,13,Married-civ-spouse,Group 4,0,24,63.66,Low
23,3,Married-civ-spouse,Group 3,0,40,61.32,Low
36,10,Divorced,Group 3,0,40,59.86,Low
40,14,Never-married,Group 5,14084,55,61.17,High
35,14,Married-civ-spouse,Group 5,7298,40,61.72,High
24,9,Never-married,Group 3,0,40,70.13,Low
26,14,Never-married,Group 5,0,40,60.05,Low
19,9,Never-married,Group NA,0,40,62.23,Low
51,13,Married-civ-spouse,Group 5,0,50,60.07,High
42,10,Never-married,Group 5,0,40,51.27,Low
37,9,Divorced,Group 2,0,35,59.78,Low
18,7,Never-married,Group 3,0,40,63.43,Low
36,13,Married-civ-spouse,Group 1,7298,36,58.91,High
35,9,Divorced,Group 3,0,60,55.13,Low
58,9,Married-civ-spouse,Group 3,15024,35,57.89,High
17,7,Never-married,Group 3,0,12,63.7,Low
44,9,Married-civ-spouse,Group 3,0,40,62.6,Low
37,9,Married-civ-spouse,Group 3,0,40,56.68,High
35,10,Never-married,Group 3,0,40,58.62,Low
60,9,Married-civ-spouse,Group 3,0,40,56.87,Low
54,4,Married-civ-spouse,Group 2,0,40,62.8,High
37,13,Never-married,Group 5,0,60,56.51,High
50,12,Divorced,Group 3,0,40,61.37,Low
38,13,Married-civ-spouse,Group 3,0,50,61.89,Low
45,13,Married-civ-spouse,Group 5,0,55,64.65,Low
25,6,Never-married,Group 3,0,40,57.92,Low
31,10,Married-civ-spouse,Group 1,0,40,65.12,Low
64,2,Divorced,Group NA,0,40,65.45,Low
90,9,Never-married,Group 1,0,40,61.72,Low
54,9,Married-civ-spouse,Group 2,0,20,67.04,Low
53,1,Never-married,Group 2,0,35,70.91,Low
18,9,Never-married,Group 3,0,40,52.96,Low
60,6,Divorced,Group NA,0,10,70.82,Low
66,9,Married-civ-spouse,Group 2,1409,50,67,Low
75,11,Widowed,Group 2,0,20,57.01,Low
65,9,Divorced,Group 2,0,40,57.13,Low
35,7,Separated,Group 3,3674,40,60.96,Low
41,9,Divorced,Group 3,0,38,59.64,Low
25,10,Never-married,Group 2,0,42,63.34,Low
33,10,Divorced,Group 3,0,40,63.8,Low
28,15,Never-married,Group 5,0,55,60.84,High
59,9,Married-civ-spouse,Group 1,0,40,63,Low
40,10,Never-married,Group 2,0,38,58.28,Low
41,13,Married-civ-spouse,Group 5,0,50,62.49,High
38,14,Married-civ-spouse,Group 5,0,70,57.79,High
23,9,Never-married,Group 3,0,40,64.17,Low
40,13,Married-civ-spouse,Group 5,0,40,51.38,High
41,9,Married-civ-spouse,Group 1,0,20,54.27,Low
24,12,Married-civ-spouse,Group 4,0,50,61.84,Low
20,10,Never-married,Group NA,0,20,56.49,Low
38,10,Divorced,Group 3,0,40,54.78,Low
56,9,Married-civ-spouse,Group 2,0,35,62.12,Low
58,9,Married-civ-spouse,Group 2,0,45,64.87,High
32,9,Never-married,Group 1,0,34,61.65,Low
40,12,Married-civ-spouse,Group 4,0,60,67.14,High
45,9,Married-civ-spouse,Group 2,0,40,65.83,Low
41,15,Married-civ-spouse,Group 5,0,40,62.41,High
42,13,Married-civ-spouse,Group 2,0,40,57.95,Low
59,6,Widowed,Group 1,0,30,56.55,Low
19,10,Never-married,Group 2,0,40,57.07,Low
58,10,Never-married,Group 3,0,20,60.68,Low
42,9,Married-civ-spouse,Group 2,0,40,57.72,High
20,9,Never-married,Group 1,0,40,54.58,Low
32,9,Separated,Group 1,0,30,55.55,Low
45,11,Widowed,Group 5,0,45,60.3,Low
50,4,Divorced,Group 3,0,40,58.48,Low
36,13,Divorced,Group 5,0,40,63.39,Low
45,9,Married-civ-spouse,Group 3,0,60,57.48,Low
17,7,Never-married,Group 1,0,12,58.75,Low
59,10,Married-civ-spouse,Group 3,4064,40,62.45,Low
26,7,Married-civ-spouse,Group 3,0,40,56.28,Low
37,10,Married-civ-spouse,Group 5,0,75,62.26,High
19,10,Never-married,Group NA,0,24,65.42,Low
64,9,Married-civ-spouse,Group 5,0,40,65.07,High
33,13,Never-married,Group 5,0,45,63.88,Low
33,9,Married-civ-spouse,Group 3,0,40,61.2,High
61,9,Married-civ-spouse,Group 5,0,40,64.21,High
17,5,Never-married,Group 1,1055,24,59.32,Low
50,14,Married-civ-spouse,Group 2,2407,98,58.64,Low
27,14,Never-married,Group 5,0,35,65.64,Low
30,9,Divorced,Group 5,0,40,56.59,Low
43,9,Married-civ-spouse,Group 1,0,40,57.92,Low
44,10,Married-civ-spouse,Group 3,7298,40,61.1,High
35,10,Never-married,Group 5,0,40,61.09,Low
25,10,Never-married,Group 4,0,40,69.22,Low
24,10,Married-civ-spouse,Group 2,7298,48,68.37,High
22,13,Never-married,Group 5,0,15,63.85,Low
42,10,Married-civ-spouse,Group 3,5178,40,54.12,High
34,12,Divorced,Group 3,0,45,60.83,Low
60,13,Divorced,Group 5,0,42,62.21,Low
21,9,Never-married,Group 1,0,40,59.06,Low
57,14,Married-civ-spouse,Group 3,15024,40,63.53,High
41,15,Married-civ-spouse,Group 5,0,60,56.39,High
50,10,Divorced,Group 1,0,45,59.12,Low
25,13,Never-married,Group 5,0,40,54.28,Low
50,4,Married-civ-spouse,Group 3,0,40,55.36,Low
36,13,Married-civ-spouse,Group 5,0,45,64.41,Low
31,9,Divorced,Group 5,0,40,64.2,Low
29,13,Never-married,Group 4,0,56,63.14,Low
21,10,Never-married,Group 3,0,45,57.62,Low
27,13,Never-married,Group 4,0,40,65.16,Low
65,9,Married-civ-spouse,Group 3,0,16,56.28,Low
37,13,Divorced,Group 3,0,60,56.78,Low
39,14,Married-civ-spouse,Group NA,3464,40,61.64,Low
24,9,Never-married,Group 3,0,40,62.5,Low
38,9,Divorced,Group 3,0,80,63.08,Low
48,13,Married-civ-spouse,Group 2,7688,40,60.7,High
21,10,Never-married,Group 1,0,25,58.36,Low
31,9,Married-civ-spouse,Group 3,0,45,61.35,High
55,9,Married-civ-spouse,Group 3,4386,40,58.27,High
24,10,Married-civ-spouse,Group 2,0,40,56.08,Low
43,9,Divorced,Group 2,0,40,53.67,Low
26,12,Never-married,Group 4,0,45,58.69,Low
46,12,Never-married,Group 5,0,33,57.89,Low
35,12,Married-civ-spouse,Group 2,0,40,60.75,High
41,10,Married-civ-spouse,Group 2,0,54,58.35,High
26,13,Never-married,Group 3,0,40,64.19,Low
34,14,Married-civ-spouse,Group 5,7298,35,59.98,High
19,10,Never-married,Group NA,0,25,70.37,Low
36,13,Divorced,Group 5,0,40,68.73,High
22,10,Never-married,Group 3,0,15,55.34,Low
24,10,Never-married,Group 2,0,40,64.93,Low
77,10,Married-civ-spouse,Group 3,0,40,63.71,Low
22,3,Married-civ-spouse,Group 2,0,40,58.41,Low
29,10,Never-married,Group 4,0,40,58.77,Low
62,9,Widowed,Group 1,0,24,58.7,Low
39,9,Married-civ-spouse,Group 5,0,40,58.31,Low
43,10,Married-civ-spouse,Group 3,0,50,57.95,Low
35,9,Divorced,Group 3,0,45,60.87,Low
29,7,Never-married,Group 5,0,40,56.99,Low
76,14,Married-civ-spouse,Group 3,0,10,61.92,Low
63,9,Married-civ-spouse,Group 2,0,45,59.83,Low
23,11,Never-married,Group NA,0,15,66.18,Low
43,10,Married-civ-spouse,Group 5,0,50,58.05,High
58,9,Married-civ-spouse,Group 1,0,40,57.58,Low
66,9,Never-married,Group 3,2050,55,59.62,Low
41,10,Never-married,Group 3,0,45,61.75,Low
26,13,Never-married,Group 2,0,40,58.4,Low
47,11,Never-married,Group 1,0,40,57.97,Low
55,6,Married-civ-spouse,Group 2,0,40,56.71,Low
53,9,Married-civ-spouse,Group 3,0,40,56.07,Low
17,3,Never-married,Group 1,0,48,54.06,Low
30,9,Never-married,Group 3,0,40,62.69,Low
49,14,Never-married,Group 5,0,60,57.57,Low
19,9,Never-married,Group 3,0,30,71.15,Low
45,9,Married-civ-spouse,Group 1,0,40,59.58,Low
26,12,Never-married,Group 3,0,40,60.6,Low
38,11,Married-civ-spouse,Group 3,7298,40,54.85,High
36,9,Married-civ-spouse,Group 4,7298,40,58.32,High
33,9,Never-married,Group 2,0,20,62.18,Low
22,10,Never-married,Group 4,0,40,60.59,Low
43,13,Never-married,Group 3,0,42,63.14,Low
67,7,Married-civ-spouse,Group NA,0,8,59.58,Low
30,11,Divorced,Group NA,0,40,67.04,Low
56,12,Married-spouse-absent,Group 1,0,25,65.23,Low
31,13,Never-married,Group 5,0,25,55.4,Low
33,13,Married-civ-spouse,Group 5,0,40,55.26,High
26,9,Married-civ-spouse,Group 1,0,40,53.42,Low
33,13,Married-civ-spouse,Group 5,0,40,52.19,High
46,7,Married-civ-spouse,Group 3,0,30,53.75,Low
59,13,Married-civ-spouse,Group NA,0,40,66.03,High
38,9,Married-civ-spouse,Group 2,0,40,60.34,High
65,7,Widowed,Group 1,0,40,62.5,Low
40,11,Married-civ-spouse,Group 4,0,40,61.5,High
42,9,Married-civ-spouse,Group 2,0,35,56.39,Low
26,5,Married-civ-spouse,Group 3,0,40,65.7,Low
36,6,Married-civ-spouse,Group 1,0,24,58.78,Low
62,14,Married-civ-spouse,Group 5,0,40,57.38,High
43,13,Married-civ-spouse,Group 3,0,45,68.92,Low
43,13,Divorced,Group 5,0,45,59.23,High
22,9,Married-spouse-absent,Group 3,0,55,61.62,Low
28,9,Married-civ-spouse,Group 3,0,40,64.11,Low
56,10,Married-civ-spouse,Group 3,0,45,61.45,Low
22,12,Never-married,Group 3,0,15,57.97,Low
57,13,Divorced,Group 5,0,45,58.55,High
39,9,Divorced,Group 3,0,40,60.69,Low
26,10,Never-married,Group 2,0,15,65.05,Low
17,7,Never-married,Group 1,0,10,62.42,Low
40,11,Married-civ-spouse,Group 2,0,38,66.68,High
45,9,Married-civ-spouse,Group 2,0,40,61.11,Low
44,9,Never-married,Group 3,0,40,64.71,Low
20,10,Never-married,Group 2,0,10,57.02,Low
33,9,Married-civ-spouse,Group 3,0,40,53.64,Low
23,10,Never-married,Group 3,0,40,56.04,Low
46,14,Divorced,Group 5,0,30,57.13,Low
38,9,Married-civ-spouse,Group 3,0,50,58.25,Low
54,9,Divorced,Group 3,0,40,56.04,Low
46,3,Divorced,Group 3,0,45,58.31,Low
25,10,Married-civ-spouse,Group 3,0,40,52.51,Low
46,10,Divorced,Group 3,0,40,58.58,Low
36,10,Married-civ-spouse,Group 3,0,40,59.54,Low
23,9,Never-married,Group 1,0,25,61.29,Low
29,9,Separated,Group 2,0,40,58.88,Low
44,10,Married-civ-spouse,Group 2,0,6,66.59,High
19,10,Never-married,Group 2,0,16,63.13,Low
19,9,Never-married,Group 1,0,40,62.27,Low
35,9,Married-civ-spouse,Group 1,0,40,65.1,High
27,13,Never-married,Group 3,0,50,56.6,Low
46,12,Separated,Group 3,0,40,64.2,Low
34,13,Married-civ-spouse,Group 5,7688,45,61.4,High
34,9,Never-married,Group 1,0,35,57.97,Low
44,10,Married-civ-spouse,Group 4,0,40,65.45,Low
45,10,Divorced,Group 1,0,40,57.75,Low
20,9,Never-married,Group NA,0,35,57.12,Low
25,13,Married-civ-spouse,Group 5,0,55,65.55,High
52,13,Married-civ-spouse,Group 5,0,50,58.81,High
20,10,Never-married,Group 1,0,40,60.94,Low
28,10,Never-married,Group 1,0,40,59.49,Low
50,13,Married-civ-spouse,Group 4,0,40,60.02,High
34,11,Divorced,Group 4,0,64,58.71,Low
28,4,Married-civ-spouse,Group 1,0,40,60.23,Low
41,14,Married-civ-spouse,Group 5,0,65,63.49,High
28,9,Married-civ-spouse,Group 2,0,40,63.41,Low
46,9,Married-civ-spouse,Group 3,0,25,57.21,Low
28,10,Married-civ-spouse,Group NA,0,40,59.52,High
32,10,Married-civ-spouse,Group 5,0,50,54.24,Low
41,10,Divorced,Group 1,0,24,57.49,Low
24,9,Never-married,Group 1,0,40,61.01,Low
33,10,Divorced,Group 5,0,40,61.21,Low
46,16,Married-civ-spouse,Group 5,15024,60,59.24,High
31,10,Married-civ-spouse,Group 2,0,40,59.95,Low
35,8,Divorced,Group 3,0,50,59.08,High
52,2,Married-civ-spouse,Group 2,0,40,58.31,Low
30,7,Never-married,Group 1,0,19,62.35,Low
34,7,Separated,Group 2,0,40,58.84,Low
34,9,Divorced,Group 3,0,40,56.27,Low
20,10,Married-civ-spouse,Group 3,0,30,63.74,Low
17,7,Never-married,Group 1,2176,18,57.97,Low
32,13,Married-civ-spouse,Group 5,0,40,62.92,High
29,9,Divorced,Group 2,0,40,59.01,Low
33,6,Never-married,Group 3,0,35,60.17,Low
25,9,Married-civ-spouse,Group 3,0,60,63.5,Low
36,14,Never-married,Group 5,0,40,59.59,Low
23,9,Never-married,Group 1,0,72,61.14,Low
63,9,Married-civ-spouse,Group 5,0,40,52.31,High
47,14,Married-civ-spouse,Group 5,0,40,59.51,Low
80,9,Widowed,Group NA,0,24,58.86,Low
17,7,Never-married,Group NA,0,40,61.32,Low
40,13,Married-spouse-absent,Group 5,2174,40,61.41,Low
30,12,Married-civ-spouse,Group 1,0,25,58.23,High
27,10,Never-married,Group 3,0,40,66.91,Low
33,14,Married-civ-spouse,Group 5,0,50,58.08,High
34,9,Never-married,Group 2,594,60,58.82,Low
34,10,Never-married,Group 4,0,40,59.95,Low
23,10,Married-civ-spouse,Group 2,0,40,57.34,Low
42,10,Married-civ-spouse,Group 2,0,40,53.04,Low
29,13,Never-married,Group 5,0,40,65.49,Low
45,9,Divorced,Group 2,0,28,56.9,Low
24,9,Never-married,Group 4,0,40,58.87,Low
44,10,Married-civ-spouse,Group 5,0,40,58.73,High
27,5,Never-married,Group 3,0,40,59.44,Low
20,10,Never-married,Group 3,0,35,53.33,Low
44,9,Widowed,Group 5,0,40,59.48,Low
51,9,Married-civ-spouse,Group 3,0,40,54.23,Low
20,9,Married-civ-spouse,Group 2,0,40,63.95,Low
17,7,Never-married,Group NA,0,5,62.3,Low
19,9,Never-married,Group 2,0,40,55.43,Low
45,10,Married-civ-spouse,Group 3,0,55,65.02,High
60,9,Married-civ-spouse,Group 3,0,40,61.44,High
42,12,Married-civ-spouse,Group 5,0,40,55.88,High
44,9,Married-civ-spouse,Group 3,0,40,58.17,High
40,11,Married-civ-spouse,Group 2,0,40,58.34,High
30,9,Married-civ-spouse,Group 5,0,40,59.66,Low
38,10,Married-civ-spouse,Group 3,0,50,56.39,Low
23,9,Married-civ-spouse,Group 3,0,60,61.54,Low
32,10,Married-civ-spouse,Group NA,0,40,58.64,Low
44,12,Never-married,Group 2,0,40,55.5,Low
54,9,Married-civ-spouse,Group 3,0,40,58.55,Low
32,13,Married-civ-spouse,Group 5,0,50,61.77,Low
50,2,Married-spouse-absent,Group 3,0,40,58.16,Low
24,13,Never-married,Group 4,0,20,60.76,Low
37,9,Married-civ-spouse,Group 2,0,60,51.65,Low
52,9,Divorced,Group 3,0,40,57.91,Low
38,10,Married-civ-spouse,Group 3,0,40,59.15,Low
49,14,Married-civ-spouse,Group 5,0,45,58.89,High
30,13,Married-civ-spouse,Group 4,0,16,63.84,High
60,10,Never-married,Group 5,0,40,63.47,High
22,10,Never-married,Group NA,0,40,57.2,Low
35,9,Never-married,Group 3,0,40,56.98,Low
30,9,Never-married,Group 3,0,60,60.2,Low
67,11,Divorced,Group 1,0,24,57.72,Low
46,13,Never-married,Group 3,0,40,59.83,Low
17,5,Never-married,Group 1,0,6,60.73,Low
22,10,Never-married,Group 1,0,30,60.69,Low
27,6,Never-married,Group 1,0,40,65.7,Low
23,9,Never-married,Group 1,0,35,61.64,Low
33,12,Married-civ-spouse,Group 3,0,45,55.82,Low
43,10,Married-civ-spouse,Group 3,0,20,63.33,Low
28,13,Never-married,Group 5,0,20,62.36,Low
41,9,Married-spouse-absent,Group 3,0,40,64.63,Low
52,8,Never-married,Group NA,594,40,58.07,Low
25,10,Married-spouse-absent,Group 2,0,20,63.28,Low
63,2,Married-civ-spouse,Group NA,0,35,55.57,Low
59,9,Married-civ-spouse,Group 3,0,45,66.66,Low
45,13,Divorced,Group 5,0,40,53.57,Low
38,13,Married-civ-spouse,Group 3,15024,60,57.12,High
40,9,Never-married,Group 1,0,35,60.96,Low
46,9,Divorced,Group 2,0,40,65.23,Low
35,12,Never-married,Group 5,0,60,54.18,Low
34,9,Divorced,Group 5,0,25,57.01,Low
33,13,Never-married,Group 3,0,20,63.29,Low
41,9,Divorced,Group 2,0,36,62.57,Low
20,10,Never-married,Group 2,0,40,57.93,Low
23,3,Never-married,Group 1,0,40,61.11,Low
26,10,Never-married,Group 5,0,35,59.38,Low
72,9,Married-civ-spouse,Group NA,0,20,60.56,Low
23,9,Never-married,Group 2,0,40,67.01,Low
62,9,Married-civ-spouse,Group 3,0,40,61.04,Low
52,10,Married-civ-spouse,Group 2,0,40,61.48,Low
58,10,Divorced,Group 1,0,42,61.37,Low
25,13,Never-married,Group 3,0,40,65.19,Low
24,13,Never-married,Group 5,0,40,64.95,Low
19,10,Never-married,Group 4,0,8,60.35,Low
43,10,Married-civ-spouse,Group 5,0,40,52,Low
47,9,Separated,Group 2,0,40,63.5,Low
39,9,Divorced,Group 1,0,40,55.42,Low
49,11,Married-spouse-absent,Group 1,0,42,59.48,Low
53,3,Widowed,Group NA,0,30,55.9,Low
