pedestrians,weather,temperature,precipitation,hour,weekday,temp_forecast
1591,partly-cloudy-day,88,0,12,Monday,84.88235294
1901,partly-cloudy-day,77,0,14,Tuesday,73
787,partly-cloudy-day,56,0,18,Thursday,54.64705882
799,rain,70,0.0158,13,Thursday,67.58823529
125,clear-night,27,0,18,Monday,26.64705882
7,partly-cloudy-night,42,0,18,Tuesday,41.23529412
1564,clear-day,44,0,18,Sunday,39.52941176
2588,partly-cloudy-day,76,0,14,Sunday,70.88235294
2342,clear-day,42,0,12,Saturday,42.41176471
1571,partly-cloudy-day,87,0,14,Wednesday,80.70588235
30,partly-cloudy-night,35,0,6,Saturday,42.41176471
1991,partly-cloudy-day,80,0,19,Friday,78.76470588
1457,clear-day,88,0,14,Monday,80.35294118
2112,clear-day,45,0,16,Friday,40.17647059
1322,partly-cloudy-day,34,4.00E-04,12,Tuesday,33
117,clear-night,38,0,6,Tuesday,50.58823529
820,partly-cloudy-day,25,0,13,Wednesday,23.05882353
1788,clear-day,58,0,12,Monday,53.11764706
129,partly-cloudy-night,25,0,18,Wednesday,23.05882353
544,partly-cloudy-day,71,0,8,Wednesday,76.88235294
2567,clear-day,41,0,15,Sunday,36
47,clear-night,36,0,6,Saturday,38.94117647
36,partly-cloudy-night,35,0,6,Tuesday,38.88235294
2721,clear-day,82,0,14,Sunday,77.47058824
898,clear-day,35,0,16,Tuesday,30.05882353
2193,cloudy,64,0,16,Friday,59.35294118
1577,clear-day,58,0,18,Thursday,52.35294118
1221,cloudy,48,0,11,Tuesday,46.47058824
187,clear-night,33,0,7,Tuesday,42.23529412
500,clear-day,63,0,8,Monday,67.41176471
572,partly-cloudy-night,72,0,20,Thursday,75.52941176
1599,clear-day,49,0,13,Thursday,44.41176471
1058,cloudy,72,0,11,Tuesday,70.17647059
159,clear-day,64,0,6,Tuesday,66.41176471
57,partly-cloudy-night,62,0,22,Friday,64.94117647
1833,clear-day,80,0,11,Thursday,78.58823529
950,clear-day,33,0,16,Wednesday,28.82352941
186,partly-cloudy-night,68,0,6,Friday,74.94117647
522,cloudy,70,0,9,Tuesday,71.88235294
23,clear-night,50,0,22,Thursday,48.58823529
224,rain,48,0.0551,17,Monday,46.64705882
1036,partly-cloudy-day,34,0,17,Sunday,30.17647059
2329,clear-day,40,0,12,Saturday,36.82352941
1658,clear-day,78,0,18,Tuesday,74.58823529
36,partly-cloudy-night,70,0,22,Sunday,70.88235294
640,clear-day,65,0,9,Monday,67.41176471
1226,clear-day,83,0,11,Wednesday,80.76470588
450,clear-day,51,0,8,Monday,59.05882353
173,rain,33,0.0117,16,Tuesday,33.64705882
789,cloudy,30,0,11,Wednesday,29.11764706
67,rain,68,0.002,6,Sunday,74.76470588
2287,partly-cloudy-day,52,0,15,Monday,46.41176471
1901,cloudy,75,0,15,Tuesday,71.88235294
1021,clear-day,82,0,10,Tuesday,83.47058824
143,clear-night,27,0,19,Tuesday,23.29411765
2016,clear-day,51,0,13,Monday,46.41176471
25,rain,35,0.0255,6,Monday,35.94117647
1703,partly-cloudy-day,54,0,16,Monday,55.47058824
17,partly-cloudy-night,33,0,6,Friday,34.35294118
61,partly-cloudy-night,20,0,18,Friday,16.35294118
448,clear-day,74,0,8,Tuesday,80.58823529
1589,partly-cloudy-day,39,0,12,Friday,35.41176471
398,clear-day,40,0,8,Tuesday,50.58823529
3,partly-cloudy-night,34,0,21,Monday,33.82352941
819,clear-day,30,0,11,Wednesday,28.82352941
1216,cloudy,40,3.00E-04,16,Thursday,39.64705882
6,cloudy,56,0,19,Wednesday,52.70588235
928,partly-cloudy-day,72,0,9,Sunday,75.82352941
2387,cloudy,53,0,12,Friday,52.82352941
1713,cloudy,57,0,14,Wednesday,52.70588235
1319,clear-day,34,0.0065,12,Friday,33.05882353
1201,clear-day,36,0,14,Thursday,33
35,cloudy,44,5.00E-04,19,Saturday,43.64705882
1462,cloudy,56,0,16,Friday,52.94117647
2111,partly-cloudy-day,79,0,17,Tuesday,76.05882353
298,cloudy,52,0,8,Thursday,54.64705882
396,partly-cloudy-day,73,0,8,Sunday,79.94117647
2181,partly-cloudy-day,52,0,13,Sunday,47.94117647
50,partly-cloudy-night,53,0,6,Wednesday,61.52941176
2355,partly-cloudy-day,82,0,12,Sunday,77.82352941
559,rain,40,0.0093,10,Monday,40.47058824
557,clear-day,33,0,9,Wednesday,31.70588235
3002,partly-cloudy-day,61,0,12,Saturday,57.76470588
1645,clear-day,59,0,16,Tuesday,56.17647059
2914,partly-cloudy-day,77,0,12,Saturday,75.11764706
1885,partly-cloudy-day,79,0,19,Sunday,78.47058824
163,partly-cloudy-night,61,0,6,Tuesday,68.41176471
520,cloudy,33,0,11,Tuesday,34.88235294
178,clear-day,7,0,10,Thursday,10.47058824
724,cloudy,67,0,19,Wednesday,67.58823529
83,partly-cloudy-night,38,0,18,Saturday,37.35294118
971,clear-day,43,0,10,Wednesday,44.47058824
1,partly-cloudy-day,29,0,12,Saturday,28.11764706
35,rain,61,0.0532,6,Saturday,59.11764706
2204,cloudy,73,0,18,Saturday,70.76470588
3032,partly-cloudy-day,81,0,15,Saturday,73.35294118
1143,clear-day,40,0.0038,12,Thursday,40.41176471
456,fog,67,0,18,Monday,65.11764706
423,clear-day,41,0,8,Monday,50.05882353
1665,partly-cloudy-day,91,0,15,Saturday,81.23529412
2043,clear-day,71,0,17,Wednesday,68.17647059
795,clear-day,27,0,10,Tuesday,27.47058824
845,partly-cloudy-day,79,0,10,Thursday,73.41176471
314,cloudy,61,0,8,Monday,67.88235294
1705,partly-cloudy-day,81,0,18,Thursday,78.70588235
138,clear-night,68,0,21,Saturday,74.05882353
2386,partly-cloudy-day,66,0,14,Wednesday,60.23529412
51,clear-night,34,0,17,Tuesday,33
2036,clear-day,81,0,12,Friday,77.47058824
13,clear-night,66,0,19,Monday,64.94117647
341,clear-day,35,0,8,Friday,44
1855,cloudy,49,0,13,Thursday,45.35294118
856,clear-day,54,0,19,Wednesday,53.88235294
1769,partly-cloudy-day,71,0,10,Sunday,71
1,clear-night,37,0,22,Wednesday,39.64705882
101,partly-cloudy-night,68,0.0053,21,Tuesday,66.41176471
292,clear-day,57,0,7,Friday,67.29411765
405,partly-cloudy-day,74,0,8,Sunday,83.58823529
41,rain,40,0.0343,20,Sunday,40.70588235
754,rain,55,0.0637,16,Friday,55.35294118
211,clear-day,34,0,8,Sunday,39.52941176
2151,partly-cloudy-day,59,0,19,Sunday,58.64705882
215,rain,58,0.0249,9,Thursday,64.29411765
1161,partly-cloudy-day,78,0,10,Wednesday,75.29411765
1261,clear-day,40,0.0016,10,Saturday,40.35294118
82,rain,56,0.0078,19,Thursday,55.58823529
93,partly-cloudy-night,72,0.0061,21,Friday,71
282,cloudy,69,0,7,Monday,72.23529412
13,cloudy,59,0,21,Friday,59.35294118
1884,clear-day,73,0,17,Tuesday,66.11764706
619,cloudy,33,0,10,Monday,33.82352941
255,clear-day,44,0,7,Tuesday,56.64705882
2192,clear-day,69,0,16,Tuesday,62.52941176
203,rain,48,0.0391,9,Sunday,46.94117647
47,clear-night,57,0,22,Thursday,55.52941176
2125,partly-cloudy-day,81,0,17,Friday,77.47058824
335,clear-day,31,0,9,Thursday,33
59,clear-night,48,0,17,Saturday,46.23529412
41,snow,27,0.0083,6,Friday,32.17647059
11,clear-night,28,0,20,Sunday,27.88235294
1969,clear-day,60,0,12,Tuesday,57.58823529
988,clear-day,24,0,14,Thursday,21.58823529
933,cloudy,54,0,19,Friday,52.82352941
307,clear-day,24,0,9,Thursday,27.41176471
458,partly-cloudy-day,47,0,19,Friday,44.47058824
1687,clear-day,86,0,17,Monday,79.82352941
1812,clear-day,59,0,16,Thursday,52.35294118
283,partly-cloudy-day,81,0,7,Saturday,90.29411765
13,partly-cloudy-night,72,0,22,Monday,72.11764706
85,clear-night,54,0,6,Friday,59.35294118
3,clear-night,13,0,21,Thursday,10.47058824
19,partly-cloudy-night,37,0,6,Sunday,40.70588235
1130,partly-cloudy-day,46,0.0029,17,Thursday,40.41176471
257,rain,67,0.0178,9,Friday,70.11764706
9,rain,40,0.0855,21,Monday,39.17647059
245,partly-cloudy-day,53,0,7,Monday,59
586,clear-day,68,0,9,Thursday,69.70588235
180,clear-day,20,0,8,Wednesday,23.05882353
2243,cloudy,63,0,12,Monday,59
4,cloudy,47,0,22,Monday,49.47058824
45,clear-night,64,0,22,Wednesday,68.17647059
665,clear-day,72,0,9,Friday,78.29411765
2766,partly-cloudy-day,84,0,13,Sunday,79.94117647
894,cloudy,40,0.0011,10,Friday,43
2073,partly-cloudy-day,85,0,16,Friday,79.58823529
2364,clear-day,74,0,11,Saturday,72.94117647
385,partly-cloudy-day,55,0,8,Thursday,62.88235294
35,cloudy,26,0.0074,22,Wednesday,31.70588235
1715,partly-cloudy-day,65,0,12,Friday,66.47058824
6,clear-night,59,0,22,Sunday,61.47058824
1312,partly-cloudy-day,36,7.00E-04,14,Wednesday,34.70588235
292,clear-day,72,0,7,Tuesday,83.47058824
3616,partly-cloudy-day,64,0,14,Saturday,60.64705882
321,rain,75,0.094,19,Thursday,77.11764706
189,clear-night,56,0,6,Saturday,68.41176471
334,clear-day,38,0,9,Wednesday,40.11764706
2575,clear-day,66,0,12,Monday,60.70588235
608,cloudy,36,0,17,Saturday,34.52941176
1709,cloudy,52,0,11,Friday,52.94117647
390,clear-day,34,2.00E-04,8,Saturday,35
1943,partly-cloudy-day,80,0,16,Tuesday,76.05882353
134,clear-night,21,0,7,Friday,25.70588235
96,clear-day,22,0,7,Friday,33.05882353
2591,clear-day,48,0,12,Saturday,46.35294118
1536,clear-day,75,0,18,Wednesday,70
2337,clear-day,36,0,14,Sunday,33
138,partly-cloudy-night,38,0,19,Wednesday,34.41176471
3,clear-night,39,0,21,Friday,41.35294118
795,cloudy,43,0,14,Wednesday,40.11764706
125,clear-day,71,0.001,6,Sunday,78.47058824
696,partly-cloudy-day,73,0,9,Thursday,77.52941176
248,partly-cloudy-day,30,0,8,Saturday,34.52941176
133,clear-night,26,0,7,Monday,26.64705882
1121,cloudy,76,0.0145,18,Sunday,76.29411765
86,clear-night,13,0,7,Tuesday,23.29411765
1300,cloudy,81,0,15,Tuesday,77
2,cloudy,58,0,6,Sunday,61.47058824
2161,partly-cloudy-day,49,0.0011,17,Saturday,46.47058824
168,partly-cloudy-day,72,0,6,Friday,80.94117647
1765,clear-day,75,0,18,Wednesday,68.88235294
15,cloudy,51,0,22,Monday,51.52941176
13,partly-cloudy-night,28,0,21,Tuesday,27.47058824
104,clear-night,50,0,18,Monday,46.88235294
1553,partly-cloudy-day,34,0,14,Saturday,29.52941176
1204,partly-cloudy-day,39,0,12,Tuesday,38.88235294
2398,partly-cloudy-day,87,0,15,Friday,80.94117647
2269,partly-cloudy-day,85,0,16,Wednesday,81.35294118
342,partly-cloudy-day,64,0,7,Monday,71.05882353
672,partly-cloudy-day,77,0,9,Monday,81.11764706
15,cloudy,48,0,21,Saturday,46.35294118
1060,partly-cloudy-night,77,0,20,Sunday,74.58823529
230,cloudy,74,0,7,Tuesday,75.76470588
2394,partly-cloudy-day,76,0,17,Sunday,70.88235294
526,partly-cloudy-day,56,0,8,Monday,59.05882353
105,rain,42,0.0593,9,Sunday,44.35294118
581,clear-day,44,0,10,Wednesday,41.11764706
2519,partly-cloudy-day,47,0,13,Sunday,43.11764706
25,clear-night,31,0,21,Friday,34.35294118
48,rain,73,0.1351,22,Thursday,82.17647059
1205,partly-cloudy-day,90,0,19,Wednesday,85.41176471
14,cloudy,34,0,21,Friday,32.17647059
1676,cloudy,61,0,12,Tuesday,60.58823529
419,clear-day,76,0,8,Thursday,77.11764706
15,partly-cloudy-night,70,0,22,Monday,72.23529412
320,clear-day,39,0.0031,9,Wednesday,37.29411765
18,clear-night,53,0,21,Tuesday,52.05882353
14,clear-night,65,0,22,Tuesday,66.11764706
2704,rain,81,0.042,15,Saturday,80.76470588
121,clear-night,30,0,21,Monday,35.94117647
4,snow,33,0.0875,22,Sunday,37.35294118
1383,clear-day,75,0,20,Monday,73.35294118
282,clear-day,53,0,7,Friday,68.82352941
974,cloudy,52,0,12,Friday,46.88235294
1532,clear-day,51,0,16,Thursday,46.76470588
199,cloudy,62,0,8,Monday,65.11764706
943,cloudy,46,0.0028,15,Friday,43
442,cloudy,35,0,9,Monday,35.41176471
1201,partly-cloudy-day,57,0,10,Tuesday,50.47058824
1137,partly-cloudy-day,47,0,11,Tuesday,44.52941176
1863,cloudy,62,0,17,Monday,60.70588235
312,clear-day,69,0,7,Tuesday,80.94117647
2328,clear-day,75,0,18,Sunday,73.47058824
353,cloudy,62,0.0046,15,Friday,63.17647059
183,clear-night,73,0,6,Tuesday,81.23529412
22,partly-cloudy-night,39,0,22,Thursday,40.41176471
1970,partly-cloudy-day,47,0,12,Saturday,46.47058824
365,partly-cloudy-day,75,0,8,Friday,78.76470588
613,cloudy,29,0,10,Friday,32.17647059
2378,partly-cloudy-day,55,0,11,Friday,53.05882353
2036,clear-day,68,0,14,Thursday,61.88235294
201,partly-cloudy-night,69,0,6,Saturday,75.11764706
965,clear-day,79,0,10,Wednesday,81.52941176
1982,clear-day,52,0,15,Monday,48.17647059
6,cloudy,39,3.00E-04,20,Monday,40.47058824
44,partly-cloudy-night,85,0,21,Monday,84.88235294
328,clear-day,65,0,7,Tuesday,71
56,clear-night,32,0,21,Saturday,35
1276,cloudy,38,0,12,Wednesday,37.41176471
1741,partly-cloudy-day,81,0,11,Wednesday,81.35294118
282,clear-day,68,0,7,Friday,71.23529412
9,cloudy,54,0,20,Wednesday,54.70588235
295,partly-cloudy-day,41,0,8,Thursday,40.17647059
1078,cloudy,68,0,10,Thursday,71.64705882
712,partly-cloudy-day,74,0,9,Monday,78.76470588
18,partly-cloudy-night,64,0,21,Thursday,64.29411765
1,rain,49,0.0502,6,Saturday,50.58823529
1752,partly-cloudy-day,75,0,17,Tuesday,71
64,partly-cloudy-night,78,0,21,Tuesday,81.23529412
14,clear-night,37,0,6,Monday,46.88235294
1871,partly-cloudy-day,45,0,16,Thursday,45.35294118
1315,clear-day,88,0,11,Wednesday,85.41176471
489,clear-day,30,0,9,Sunday,33
1554,clear-day,54,0,14,Wednesday,49.76470588
14,partly-cloudy-night,77,0,21,Wednesday,80.70588235
3244,partly-cloudy-day,77,0,15,Friday,67.58823529
21,cloudy,58,0,22,Monday,59
71,cloudy,41,0.0017,18,Thursday,40.41176471
1561,partly-cloudy-day,87,0,15,Wednesday,82.05882353
2087,partly-cloudy-day,46,3.00E-04,13,Friday,43.23529412
1488,cloudy,41,0,16,Sunday,38.29411765
451,cloudy,36,0,12,Tuesday,36.94117647
1607,cloudy,42,0,14,Sunday,38.29411765
1017,cloudy,46,0,14,Sunday,44.35294118
525,clear-day,47,0,19,Tuesday,42.41176471
1485,cloudy,60,0,12,Tuesday,56.17647059
829,partly-cloudy-day,97,0,15,Sunday,90.70588235
915,partly-cloudy-day,71,0,20,Sunday,69.70588235
2896,clear-day,84,0,15,Saturday,80.41176471
166,partly-cloudy-night,57,0,6,Wednesday,63.94117647
271,partly-cloudy-day,60,0,7,Tuesday,66.11764706
574,rain,72,0.0101,19,Wednesday,71.35294118
3725,clear-day,69,0,15,Saturday,63.52941176
756,cloudy,74,0,17,Thursday,71.64705882
157,clear-day,59,0,6,Friday,68.11764706
10,partly-cloudy-night,44,6.00E-04,22,Wednesday,37.58823529
1516,cloudy,71,0,12,Tuesday,70.58823529
6,clear-night,53,0,19,Monday,53.11764706
4,partly-cloudy-night,34,0,22,Sunday,42.29411765
19,rain,73,0.012,22,Monday,80.58823529
2964,clear-day,57,0,17,Saturday,53
2343,partly-cloudy-day,72,0,14,Thursday,60.88235294
1433,partly-cloudy-day,73,0,18,Monday,72.41176471
336,partly-cloudy-night,63,5.00E-04,20,Tuesday,62.52941176
356,clear-day,71,0,8,Friday,77.47058824
177,partly-cloudy-night,42,0,7,Thursday,48.58823529
2585,partly-cloudy-day,46,0,11,Sunday,45.70588235
296,partly-cloudy-day,57,0,7,Friday,64.94117647
1825,clear-day,61,0,11,Thursday,58.23529412
48,rain,69,0.044,6,Friday,71.29411765
377,partly-cloudy-day,46,0,19,Tuesday,42.23529412
9,clear-night,10,0,20,Monday,9.235294118
947,partly-cloudy-day,80,0,20,Tuesday,77
2195,partly-cloudy-day,77,0,16,Monday,73.35294118
118,cloudy,45,0.0016,7,Monday,46.64705882
99,snow,33,0.0304,16,Monday,33.52941176
2232,cloudy,40,0,10,Tuesday,41.23529412
1324,cloudy,39,0.0036,12,Monday,35.94117647
221,partly-cloudy-day,51,0,7,Monday,49.47058824
2215,clear-day,65,0,16,Wednesday,60.70588235
2469,clear-day,62,0,12,Sunday,57.05882353
2535,partly-cloudy-day,75,0,14,Friday,71.23529412
116,clear-night,32,0,17,Friday,27.88235294
34,clear-night,31,0,22,Saturday,29.23529412
5,clear-night,11,0,19,Wednesday,20.05882353
1665,partly-cloudy-day,87,0,17,Wednesday,79.52941176
1893,clear-day,40,0,12,Saturday,36.11764706
207,cloudy,58,0,7,Tuesday,60.58823529
3007,clear-day,79,0,12,Saturday,76
12,clear-night,34,0,19,Friday,35.41176471
267,clear-night,44,0,7,Saturday,53
160,clear-day,70,0,6,Saturday,80.41176471
1237,cloudy,48,0,10,Friday,56.76470588
84,clear-night,34,0,17,Thursday,31.11764706
448,clear-day,60,0,8,Wednesday,70
1495,cloudy,53,7.00E-04,13,Saturday,50.58823529
1750,partly-cloudy-day,79,0,10,Saturday,79.29411765
1027,partly-cloudy-day,28,0,16,Sunday,30
2040,partly-cloudy-day,71,0,13,Monday,67.88235294
2505,partly-cloudy-day,81,0,16,Friday,74.70588235
443,partly-cloudy-day,37,0.0026,9,Thursday,43.64705882
1999,partly-cloudy-day,74,0,11,Sunday,73.47058824
238,partly-cloudy-day,73,0,7,Friday,82.82352941
2750,partly-cloudy-day,59,0,11,Sunday,59.05882353
2045,clear-day,78,0,13,Friday,73.17647059
357,partly-cloudy-day,80,0,8,Monday,80.58823529
7,clear-night,38,0,22,Sunday,40.29411765
91,partly-cloudy-day,38,0,7,Monday,37.76470588
2001,partly-cloudy-day,64,0,10,Friday,59.64705882
38,clear-night,66,0,21,Monday,67.41176471
184,partly-cloudy-night,68,0,6,Wednesday,79.52941176
2252,clear-day,85,0,18,Saturday,80.41176471
49,clear-night,42,0,17,Sunday,43.11764706
982,rain,62,0.0366,11,Saturday,59.11764706
60,partly-cloudy-night,60,0,19,Friday,57.58823529
303,clear-day,34,0,8,Monday,40.88235294
1559,cloudy,42,0,12,Friday,41.35294118
1366,partly-cloudy-day,69,0,10,Sunday,70.29411765
2117,partly-cloudy-day,69,0,13,Thursday,65.82352941
23,clear-night,58,0,20,Sunday,51.29411765
1527,clear-day,73,0,10,Sunday,70.88235294
2484,cloudy,64,0,11,Saturday,66.58823529
44,rain,60,0.0619,6,Thursday,64.29411765
380,partly-cloudy-day,53,0,9,Friday,60.58823529
2,clear-night,31,0,22,Monday,37.76470588
72,rain,62,0.309,12,Sunday,61.47058824
25,partly-cloudy-night,79,0,22,Friday,82.82352941
560,cloudy,61,0,8,Sunday,66.23529412
295,cloudy,33,0,8,Monday,34.47058824
1056,clear-day,87,0,13,Sunday,83.58823529
1443,cloudy,62,0,10,Wednesday,62.29411765
2978,clear-day,54,0,12,Saturday,52.35294118
185,rain,37,0.0556,8,Sunday,38.70588235
1949,cloudy,54,0,12,Thursday,55.52941176
583,rain,55,0.0212,15,Wednesday,54.70588235
1080,cloudy,58,0,12,Tuesday,58.17647059
83,cloudy,50,0,21,Wednesday,52.58823529
1,clear-night,40,0,22,Sunday,42.05882353
382,clear-day,25,0,9,Saturday,27.94117647
1113,cloudy,53,0,11,Thursday,51.35294118
