Q,ProvO,Distance,Duration,Reason,Age,Gender,HHI,Others,Mode,Cost
Q3,Ontario,182,4,vacation,25-34,Female,Under 50K,0,car,813
Q3,Quebec,54,3,vacation,45-54,Male,100K and Up,0,car,108
Q4,Ontario,165,1,vacation,55-64,Male,Under 50K,1,car,300
Q4,Quebec,110,2,vacation,55-64,Male,100K and Up,1,car,445
Q3,Alberta,214,2,vacation,45-54,Male,70K to 99K,1,car,480
Q3,Saskatchewan,196,1,vacation,19-24,Female,100K and Up,2,car,50
Q1,Quebec,111,2,vacation,25-34,Female,100K and Up,0,car,515
Q3,Nova Scotia,98,3,vacation,35-44,Female,100K and Up,0,car,205
Q3,Alberta,440,5,vacation,65+,Male,50K to 69K,1,car,1315
Q3,British Columbia,264,1,vacation,25-34,Male,50K to 69K,2,car,1800
Q3,Alberta,144,3,vacation,25-34,Female,50K to 69K,2,car,147
Q1,Ontario,96,1,vacation,65+,Male,Under 50K,2,car,278
Q1,Ontario,320,2,vacation,55-64,Male,100K and Up,0,car,360
Q3,Quebec,192,3,vacation,25-34,Female,50K to 69K,20,car,679
Q3,British Columbia,45,3,vacation,55-64,Male,100K and Up,0,car,943
Q2,Ontario,302,1,vacation,35-44,Male,50K to 69K,0,car,80
Q1,Alberta,261,1,vacation,35-44,Female,100K and Up,0,car,740
Q3,Ontario,296,6,vacation,45-54,Male,70K to 99K,4,car,825
Q1,Quebec,499,5,vacation,45-54,Male,50K to 69K,0,car,160
Q1,Prince Edward Island,135,2,vacation,25-34,Female,50K to 69K,0,car,243
Q3,Quebec,264,2,vacation,19-24,Female,70K to 99K,0,car,130
Q3,Ontario,476,9,vacation,65+,Male,50K to 69K,0,car,1040
Q1,Ontario,62,2,vacation,55-64,Female,50K to 69K,0,car,889
Q1,New Brunswick,29,1,vacation,45-54,Male,100K and Up,10,car,445
Q1,Ontario,52,1,vacation,55-64,Male,100K and Up,0,car,40
Q2,Alberta,402,4,vacation,55-64,Male,70K to 99K,4,car,730
Q1,Alberta,476,6,vacation,55-64,Male,100K and Up,0,plane,4235
Q1,Ontario,180,2,vacation,55-64,Male,100K and Up,0,car,40
Q2,Ontario,68,1,vacation,35-44,Female,100K and Up,2,car,591
Q3,Manitoba,249,4,vacation,55-64,Female,100K and Up,0,car,850
Q1,Quebec,91,2,vacation,25-34,Male,100K and Up,7,car,1090
Q4,Newfoundland and Labrador,207,10,vacation,65+,Female,Under 50K,0,car,900
Q3,Alberta,2966,7,vacation,35-44,Female,100K and Up,0,plane,2536
Q3,Quebec,103,4,vacation,55-64,Female,70K to 99K,0,car,990
Q3,Ontario,347,4,vacation,25-34,Female,100K and Up,2,car,670
Q4,Ontario,80,2,vacation,65+,Male,100K and Up,0,car,65
Q3,Saskatchewan,50,2,vacation,55-64,Female,100K and Up,3,car,850
Q1,Alberta,864,1,vacation,45-54,Female,100K and Up,0,car,366
Q1,Alberta,522,3,vacation,25-34,Female,50K to 69K,0,car,380
Q4,Ontario,112,1,vacation,55-64,Male,100K and Up,0,car,810
Q1,Quebec,79,1,vacation,55-64,Male,100K and Up,0,car,340
Q3,Quebec,256,5,vacation,55-64,Male,70K to 99K,0,car,920
Q1,British Columbia,97,2,vacation,35-44,Female,70K to 99K,2,car,970
Q1,Manitoba,194,2,vacation,55-64,Female,100K and Up,0,car,60
Q3,Alberta,281,2,vacation,45-54,Female,100K and Up,0,car,445
Q2,Manitoba,123,2,vacation,55-64,Male,70K to 99K,0,car,594
Q2,Ontario,76,2,vacation,25-34,Male,100K and Up,10,car,300
Q4,Prince Edward Island,138,2,vacation,55-64,Female,100K and Up,0,car,1099
Q3,Ontario,336,2,vacation,65+,Female,100K and Up,2,car,2200
Q3,Saskatchewan,121,8,vacation,65+,Female,Under 50K,0,car,1430
Q3,Ontario,176,7,vacation,65+,Female,Under 50K,2,car,720
Q3,Ontario,69,1,vacation,65+,Female,50K to 69K,0,car,344
Q1,Alberta,202,5,vacation,65+,Male,Under 50K,0,car,250
Q3,Ontario,1239,1,vacation,55-64,Female,50K to 69K,0,car,85
Q1,Alberta,152,1,vacation,35-44,Female,100K and Up,2,car,147
Q3,British Columbia,3535,2,vacation,65+,Female,70K to 99K,0,plane,1863
Q1,Ontario,145,1,vacation,45-54,Female,100K and Up,0,car,387
Q3,Nova Scotia,199,2,vacation,35-44,Male,50K to 69K,0,car,290
Q2,Quebec,148,2,vacation,19-24,Male,100K and Up,9,car,285
Q4,Alberta,165,2,vacation,35-44,Female,100K and Up,2,car,185
Q3,Nova Scotia,456,8,vacation,55-64,Female,100K and Up,1,car,4577
Q4,Saskatchewan,417,3,vacation,55-64,Female,50K to 69K,3,car,160
Q2,Alberta,281,2,vacation,35-44,Female,Under 50K,2,car,1371
Q1,Ontario,91,1,vacation,45-54,Female,100K and Up,0,car,634
Q1,Quebec,231,1,vacation,19-24,Female,50K to 69K,1,car,525
Q2,New Brunswick,109,3,vacation,45-54,Female,100K and Up,6,car,635
Q2,British Columbia,274,3,vacation,25-34,Male,100K and Up,1,car,1975
Q1,British Columbia,94,2,vacation,45-54,Female,70K to 99K,0,car,854
Q1,Alberta,274,1,vacation,45-54,Female,100K and Up,1,car,551
Q2,Manitoba,123,2,vacation,55-64,Male,70K to 99K,0,car,155
Q3,Quebec,83,2,vacation,35-44,Female,100K and Up,0,car,230
Q1,Alberta,89,2,vacation,25-34,Female,50K to 69K,0,car,30
Q2,Nova Scotia,64,2,vacation,55-64,Female,100K and Up,0,car,180
Q2,Ontario,38,1,vacation,55-64,Female,100K and Up,2,car,370
Q1,New Brunswick,139,3,vacation,45-54,Female,100K and Up,0,car,1380
Q3,Saskatchewan,40,4,vacation,45-54,Male,Under 50K,2,car,0
Q1,Saskatchewan,446,3,vacation,25-34,Female,100K and Up,0,car,1150
Q3,Manitoba,89,2,vacation,45-54,Female,70K to 99K,0,car,185
Q3,Nova Scotia,54,2,vacation,35-44,Male,70K to 99K,1,car,925
Q2,Alberta,642,5,vacation,65+,Male,100K and Up,1,car,1780
Q4,Ontario,73,2,vacation,35-44,Male,100K and Up,0,car,610
Q2,Ontario,209,2,vacation,45-54,Female,100K and Up,1,car,150
Q2,Ontario,56,1,vacation,55-64,Female,100K and Up,0,car,120
Q4,Quebec,859,11,vacation,55-64,Female,70K to 99K,0,plane,1726
Q2,British Columbia,87,2,vacation,35-44,Male,50K to 69K,0,car,1017
Q4,Ontario,594,9,vacation,25-34,Female,Under 50K,0,car,170
Q1,British Columbia,184,1,vacation,35-44,Male,100K and Up,0,car,450
Q3,Ontario,81,3,vacation,35-44,Female,100K and Up,0,car,280
Q4,Ontario,133,5,vacation,55-64,Female,100K and Up,0,car,170
Q3,Saskatchewan,485,1,vacation,35-44,Female,50K to 69K,1,car,420
Q4,Quebec,112,2,vacation,35-44,Female,100K and Up,3,car,650
Q2,British Columbia,818,4,vacation,45-54,Male,Under 50K,0,plane,100
Q4,Quebec,229,1,vacation,55-64,Female,100K and Up,0,car,480
Q1,Newfoundland and Labrador,186,13,vacation,25-34,Male,Under 50K,0,car,200
Q2,Ontario,178,2,vacation,55-64,Female,Under 50K,3,car,425
Q2,Alberta,602,2,vacation,35-44,Male,100K and Up,0,car,310
Q2,British Columbia,3210,6,vacation,45-54,Male,100K and Up,0,plane,900
Q4,Ontario,463,3,vacation,65+,Male,100K and Up,0,car,815
Q1,Manitoba,232,6,vacation,65+,Female,50K to 69K,0,car,0
Q1,Quebec,106,2,vacation,55-64,Female,100K and Up,0,car,735
Q3,Saskatchewan,67,14,vacation,55-64,Male,100K and Up,0,car,1375
Q1,Prince Edward Island,255,2,vacation,35-44,Male,50K to 69K,0,car,60
Q3,Ontario,224,2,vacation,25-34,Male,70K to 99K,1,car,938
Q2,Quebec,291,1,vacation,45-54,Female,50K to 69K,0,car,433
Q3,Ontario,2600,5,vacation,25-34,Male,100K and Up,0,plane,1200
Q4,Ontario,172,1,vacation,25-34,Female,70K to 99K,0,car,565
Q2,Saskatchewan,180,2,vacation,25-34,Female,100K and Up,2,car,231
Q2,British Columbia,87,5,vacation,25-34,Male,100K and Up,0,plane,795
Q4,Quebec,68,2,vacation,35-44,Female,70K to 99K,0,car,530
Q1,New Brunswick,102,1,vacation,55-64,Female,100K and Up,2,car,255
Q2,Alberta,214,2,vacation,55-64,Female,70K to 99K,1,car,300
Q1,Ontario,403,2,vacation,35-44,Male,70K to 99K,0,car,430
Q3,Ontario,496,1,vacation,35-44,Male,100K and Up,0,plane,1165
Q3,Ontario,143,2,vacation,35-44,Female,100K and Up,8,car,340
Q4,Quebec,207,1,vacation,35-44,Male,100K and Up,2,car,340
Q2,New Brunswick,29,1,vacation,45-54,Male,100K and Up,0,car,80
Q1,Ontario,145,2,vacation,65+,Male,70K to 99K,6,car,405
Q3,Ontario,224,1,vacation,35-44,Female,100K and Up,0,car,270
Q3,Manitoba,105,2,vacation,19-24,Male,Under 50K,1,car,150
Q1,British Columbia,196,2,vacation,55-64,Female,100K and Up,1,car,232
Q1,Quebec,78,3,vacation,55-64,Female,50K to 69K,0,car,350
Q1,British Columbia,174,2,vacation,45-54,Male,100K and Up,0,car,1920
Q3,Newfoundland and Labrador,45,2,vacation,35-44,Female,100K and Up,1,car,633
Q3,Quebec,190,6,vacation,55-64,Female,Under 50K,0,car,100
Q1,Quebec,236,1,vacation,45-54,Male,Under 50K,2,car,520
Q3,Quebec,629,8,vacation,65+,Female,70K to 99K,1,car,2259
Q1,Ontario,86,1,vacation,45-54,Male,100K and Up,0,car,570
Q2,Alberta,214,2,vacation,45-54,Female,100K and Up,0,car,750
Q1,Manitoba,1544,1,vacation,55-64,Female,100K and Up,1,plane,900
Q3,Saskatchewan,244,6,vacation,55-64,Female,100K and Up,0,car,745
Q3,Newfoundland and Labrador,471,8,vacation,35-44,Female,100K and Up,1,car,970
Q1,Quebec,294,4,vacation,35-44,Female,70K to 99K,1,car,1495
Q3,British Columbia,1486,17,vacation,55-64,Female,70K to 99K,0,car,4125
Q4,Nova Scotia,747,5,vacation,65+,Male,Under 50K,0,car,1370
Q2,British Columbia,110,3,vacation,45-54,Female,50K to 69K,1,car,914
Q1,Saskatchewan,301,1,vacation,65+,Female,Under 50K,1,car,140
Q4,Ontario,211,3,vacation,35-44,Male,100K and Up,2,car,1506
Q3,New Brunswick,39,3,vacation,65+,Male,100K and Up,0,car,111
Q3,Ontario,37,2,vacation,65+,Male,100K and Up,0,car,195
Q1,Ontario,76,2,vacation,65+,Female,50K to 69K,5,car,837
Q3,New Brunswick,64,2,vacation,25-34,Female,100K and Up,0,car,240
Q4,Ontario,1838,36,vacation,65+,Male,100K and Up,0,plane,4800
Q2,British Columbia,84,2,vacation,25-34,Female,50K to 69K,5,car,859
Q2,Saskatchewan,535,1,vacation,65+,Female,100K and Up,0,car,401
Q2,Saskatchewan,953,3,vacation,45-54,Female,100K and Up,1,plane,970
Q2,Ontario,27,1,vacation,25-34,Female,100K and Up,2,car,150
Q3,Quebec,407,2,vacation,45-54,Male,Under 50K,1,car,578
Q1,Quebec,81,1,vacation,45-54,Male,70K to 99K,0,car,80
Q4,Ontario,121,1,vacation,45-54,Female,100K and Up,0,car,167
Q1,Ontario,3270,7,vacation,55-64,Female,100K and Up,0,plane,2237
Q3,Ontario,148,5,vacation,19-24,Female,Under 50K,3,car,800
Q3,Quebec,223,2,vacation,35-44,Female,100K and Up,2,car,495
Q4,Saskatchewan,646,1,vacation,45-54,Male,100K and Up,0,car,535
Q1,Alberta,325,2,vacation,65+,Male,70K to 99K,4,car,1600
Q3,Ontario,63,2,vacation,25-34,Male,70K to 99K,16,car,250
Q3,Quebec,55,2,vacation,35-44,Male,100K and Up,1,car,451
Q1,Alberta,443,4,vacation,55-64,Male,100K and Up,1,car,1465
Q3,Manitoba,87,3,vacation,55-64,Female,100K and Up,0,car,1025
Q2,Quebec,60,2,vacation,45-54,Male,100K and Up,1,car,160
Q3,Quebec,90,3,vacation,65+,Female,50K to 69K,0,car,714
Q2,Ontario,28,1,vacation,65+,Male,50K to 69K,0,car,0
Q1,Ontario,110,2,vacation,45-54,Male,100K and Up,0,car,850
Q3,Prince Edward Island,118,1,vacation,25-34,Male,100K and Up,1,car,107
Q1,Saskatchewan,251,2,vacation,19-24,Male,100K and Up,0,car,128
Q2,Nova Scotia,121,3,vacation,65+,Male,Under 50K,0,car,75
Q4,Ontario,206,1,vacation,55-64,Male,100K and Up,0,car,942
Q3,Alberta,236,4,vacation,45-54,Male,100K and Up,0,car,1050
Q3,Alberta,463,7,vacation,65+,Male,50K to 69K,0,car,825
Q1,Quebec,213,2,vacation,45-54,Male,50K to 69K,0,car,1140
Q3,British Columbia,236,7,vacation,65+,Male,100K and Up,0,car,2314
Q3,Saskatchewan,953,1,vacation,55-64,Female,100K and Up,0,car,249
Q3,Quebec,102,1,vacation,25-34,Female,50K to 69K,1,car,300
Q2,Manitoba,51,3,vacation,55-64,Female,100K and Up,0,car,760
Q4,British Columbia,127,1,vacation,65+,Female,100K and Up,2,car,565
Q1,Quebec,355,2,vacation,35-44,Female,50K to 69K,3,car,212
Q1,Ontario,17,1,vacation,25-34,Male,50K to 69K,0,car,480
Q1,Quebec,88,7,vacation,25-34,Female,50K to 69K,0,car,350
Q3,Ontario,82,1,vacation,25-34,Female,70K to 99K,2,car,750
Q3,Ontario,100,3,vacation,65+,Female,100K and Up,1,car,1775
Q3,British Columbia,127,4,vacation,35-44,Male,100K and Up,1,car,400
Q3,Manitoba,89,1,vacation,25-34,Male,70K to 99K,0,car,70
Q4,Saskatchewan,67,1,vacation,35-44,Female,100K and Up,0,car,380
Q2,British Columbia,109,2,vacation,65+,Male,70K to 99K,0,car,365
Q1,Alberta,298,1,vacation,35-44,Male,100K and Up,1,car,734
Q3,Alberta,1230,2,vacation,55-64,Female,100K and Up,1,plane,980
Q2,Saskatchewan,2368,5,vacation,35-44,Female,100K and Up,0,plane,3050
Q2,Quebec,173,3,vacation,45-54,Male,50K to 69K,1,car,329
Q4,Ontario,232,1,vacation,55-64,Female,100K and Up,0,car,35
Q1,Quebec,3278,2,vacation,35-44,Male,100K and Up,1,plane,875
Q2,Ontario,99,1,vacation,65+,Female,50K to 69K,1,car,397
Q4,British Columbia,52,2,vacation,45-54,Female,100K and Up,0,car,135
Q4,Ontario,668,5,vacation,25-34,Female,100K and Up,0,plane,1950
Q3,British Columbia,81,4,vacation,35-44,Female,100K and Up,6,car,920
Q1,British Columbia,39,2,vacation,65+,Male,50K to 69K,0,car,755
Q4,Quebec,720,2,vacation,45-54,Female,100K and Up,1,car,2420
Q3,British Columbia,1547,11,vacation,25-34,Female,100K and Up,4,plane,1990
Q1,Newfoundland and Labrador,847,4,vacation,35-44,Female,100K and Up,0,plane,4160
Q3,Ontario,168,3,vacation,25-34,Female,100K and Up,0,car,450
Q1,British Columbia,39,1,vacation,55-64,Male,100K and Up,0,car,45
Q4,Ontario,249,7,vacation,55-64,Male,Under 50K,0,car,1290
Q1,Saskatchewan,210,2,vacation,55-64,Male,100K and Up,0,car,295
Q1,Alberta,291,3,vacation,25-34,Female,100K and Up,0,car,526
Q3,Ontario,34,4,vacation,45-54,Male,100K and Up,2,car,330
Q1,British Columbia,69,2,vacation,45-54,Female,70K to 99K,0,car,560
Q3,New Brunswick,137,1,vacation,55-64,Male,100K and Up,0,car,180
Q4,Ontario,163,1,vacation,25-34,Female,100K and Up,3,car,1008
Q4,Ontario,94,2,vacation,35-44,Female,100K and Up,2,car,100
Q1,Prince Edward Island,7,2,vacation,45-54,Male,100K and Up,8,car,1150
Q1,Alberta,178,2,vacation,65+,Male,100K and Up,0,car,0
Q4,Ontario,52,1,vacation,45-54,Female,100K and Up,0,car,160
Q1,Quebec,287,3,vacation,55-64,Male,70K to 99K,0,car,490
Q3,Ontario,345,2,vacation,35-44,Female,100K and Up,0,plane,1450
Q3,Ontario,139,2,vacation,65+,Male,70K to 99K,0,car,260
Q4,Ontario,211,2,vacation,19-24,Male,100K and Up,1,car,70
Q1,Ontario,133,5,vacation,55-64,Female,100K and Up,0,car,2010
Q2,Saskatchewan,171,9,vacation,65+,Male,100K and Up,0,car,442
Q2,Ontario,224,3,vacation,25-34,Male,100K and Up,0,car,1720
Q2,Saskatchewan,226,2,vacation,65+,Male,50K to 69K,0,car,295
Q4,British Columbia,268,4,vacation,55-64,Male,100K and Up,4,car,850
Q3,Ontario,939,16,vacation,55-64,Female,100K and Up,2,car,4900
Q3,Manitoba,194,2,vacation,65+,Male,70K to 99K,0,car,105
Q4,Ontario,61,1,vacation,65+,Male,100K and Up,0,car,350
Q1,Ontario,127,1,vacation,55-64,Male,70K to 99K,0,car,800
Q4,British Columbia,261,1,vacation,25-34,Male,100K and Up,2,car,900
Q1,Ontario,133,1,vacation,25-34,Female,100K and Up,0,car,150
Q4,Ontario,89,2,vacation,55-64,Female,100K and Up,12,car,290
Q4,Ontario,419,1,vacation,35-44,Female,50K to 69K,2,car,555
Q4,Ontario,168,2,vacation,25-34,Female,100K and Up,2,car,1190
Q3,Nova Scotia,204,1,vacation,55-64,Male,50K to 69K,0,car,150
Q3,Quebec,651,6,vacation,45-54,Female,70K to 99K,1,car,1340
Q1,Manitoba,129,2,vacation,45-54,Female,100K and Up,0,car,520
Q1,New Brunswick,72,1,vacation,25-34,Male,Under 50K,1,car,70
Q1,Ontario,128,5,vacation,25-34,Female,100K and Up,3,car,3900
Q4,Ontario,133,1,vacation,45-54,Female,50K to 69K,0,car,135
Q1,Nova Scotia,1298,2,vacation,45-54,Male,100K and Up,0,plane,3064
Q3,Saskatchewan,722,2,vacation,55-64,Male,100K and Up,0,car,462
Q3,Saskatchewan,235,1,vacation,45-54,Male,100K and Up,0,car,630
Q2,Nova Scotia,80,1,vacation,35-44,Female,100K and Up,0,car,395
Q1,Saskatchewan,485,2,vacation,35-44,Female,100K and Up,0,car,900
Q3,Saskatchewan,465,2,vacation,65+,Female,Under 50K,0,car,120
Q4,Ontario,349,3,vacation,55-64,Female,100K and Up,0,car,460
Q2,Quebec,79,2,vacation,35-44,Male,50K to 69K,1,car,1200
Q1,Alberta,298,3,vacation,45-54,Female,100K and Up,2,car,1433
Q3,British Columbia,55,5,vacation,65+,Female,50K to 69K,0,car,899
Q1,Alberta,15,1,vacation,25-34,Female,100K and Up,0,car,250
Q1,Ontario,224,1,vacation,35-44,Female,100K and Up,1,car,400
Q3,Ontario,239,2,vacation,55-64,Female,70K to 99K,1,car,560
Q4,Ontario,107,8,vacation,55-64,Female,100K and Up,3,car,747
Q1,British Columbia,54,1,vacation,45-54,Female,70K to 99K,2,car,385
Q1,Saskatchewan,235,1,vacation,55-64,Male,100K and Up,0,car,138
Q4,Ontario,150,3,vacation,45-54,Male,70K to 99K,5,car,230
Q2,Quebec,132,1,vacation,35-44,Male,100K and Up,0,car,495
Q1,Quebec,71,2,vacation,45-54,Male,50K to 69K,1,car,460
Q3,Manitoba,78,2,vacation,55-64,Female,100K and Up,0,car,540
Q1,Ontario,127,1,vacation,55-64,Female,70K to 99K,0,car,300
Q3,Alberta,369,3,vacation,55-64,Female,100K and Up,2,car,970
Q1,Prince Edward Island,136,2,vacation,25-34,Female,100K and Up,1,car,970
Q4,Ontario,142,2,vacation,25-34,Male,100K and Up,0,car,50
Q1,Prince Edward Island,171,2,vacation,19-24,Female,70K to 99K,1,car,615
Q3,Quebec,189,1,vacation,35-44,Female,100K and Up,0,car,300
Q1,Ontario,189,2,vacation,25-34,Male,100K and Up,0,car,550
Q4,Alberta,119,2,vacation,65+,Female,70K to 99K,0,car,120
