age,job,marital,housing,loan,phone,month,weekday,CPI,CCI,irate,employment,purchase,edu_years
35,blue-collar,married,yes,yes,landline,may,fri,93.994,-36.4,4.855,5191,1,13
33,blue-collar,married,yes,yes,landline,may,fri,93.994,-36.4,4.855,5191,1,6
51,blue-collar,married,no,yes,landline,may,fri,93.994,-36.4,4.855,5191,1,9
24,services,single,yes,no,landline,may,fri,93.994,-36.4,4.855,5191,1,12
32,admin.,married,no,yes,landline,may,fri,93.994,-36.4,4.855,5191,1,16
43,admin.,married,yes,no,landline,may,fri,93.994,-36.4,4.855,5191,1,16
44,blue-collar,single,yes,no,landline,may,fri,93.994,-36.4,4.855,5191,1,6
59,management,married,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
24,services,single,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,12
39,admin.,married,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
41,admin.,single,yes,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,NA
39,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,9
32,admin.,single,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,16
33,management,married,yes,yes,landline,may,tue,93.994,-36.4,4.856,5191,1,4
38,management,married,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,9
35,admin.,single,yes,yes,landline,may,tue,93.994,-36.4,4.856,5191,1,12
38,blue-collar,single,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,9
38,blue-collar,single,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,16
38,technician,single,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,16
30,technician,married,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,16
51,admin.,single,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,6
31,services,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,6
45,technician,married,yes,yes,landline,may,tue,93.994,-36.4,4.856,5191,1,16
36,admin.,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,12
31,services,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,9
45,entrepreneur,married,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,16
51,admin.,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,4
38,blue-collar,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,6
41,technician,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,12
27,admin.,single,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,12
37,blue-collar,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,4
33,unemployed,divorced,no,no,landline,may,wed,93.994,-36.4,4.859,5191,1,9
33,blue-collar,married,no,no,landline,may,wed,93.994,-36.4,4.859,5191,1,12
35,student,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,16
40,blue-collar,married,no,no,landline,may,wed,93.994,-36.4,4.859,5191,1,12
40,blue-collar,married,yes,no,landline,may,wed,93.994,-36.4,4.859,5191,1,6
36,technician,married,no,no,landline,may,wed,93.994,-36.4,4.859,5191,1,13
35,housemaid,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,4
32,services,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
42,services,divorced,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,6
45,admin.,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,12
38,services,single,no,yes,landline,may,thu,93.994,-36.4,4.86,5191,1,12
39,blue-collar,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
45,self-employed,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,6
49,blue-collar,divorced,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,4
41,blue-collar,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
30,admin.,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
53,technician,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,13
35,technician,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,NA
51,management,married,no,yes,landline,may,thu,93.994,-36.4,4.86,5191,1,16
33,blue-collar,divorced,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
44,services,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,12
50,blue-collar,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
30,admin.,single,no,yes,landline,may,thu,93.994,-36.4,4.86,5191,1,12
45,entrepreneur,married,yes,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,16
35,admin.,single,no,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,12
29,blue-collar,single,yes,no,landline,may,fri,93.994,-36.4,4.859,5191,1,12
44,management,single,yes,no,landline,may,fri,93.994,-36.4,4.859,5191,1,16
31,blue-collar,married,NA,NA,landline,may,fri,93.994,-36.4,4.859,5191,1,6
56,blue-collar,married,yes,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,4
45,technician,married,yes,no,landline,may,fri,93.994,-36.4,4.859,5191,1,16
26,blue-collar,single,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,9
40,entrepreneur,married,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,16
49,admin.,divorced,yes,no,landline,may,fri,93.994,-36.4,4.859,5191,1,12
26,admin.,single,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,12
37,blue-collar,single,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,9
37,admin.,single,yes,no,landline,may,fri,93.994,-36.4,4.859,5191,1,12
38,blue-collar,single,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,16
51,services,married,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,6
46,admin.,divorced,no,no,landline,may,fri,93.994,-36.4,4.859,5191,1,16
35,student,single,no,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,12
57,services,divorced,yes,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,12
28,blue-collar,married,no,yes,landline,may,fri,93.994,-36.4,4.859,5191,1,9
47,management,married,no,no,landline,may,mon,93.994,-36.4,4.858,5191,1,4
57,technician,married,yes,no,landline,may,mon,93.994,-36.4,4.858,5191,1,13
45,blue-collar,married,yes,yes,landline,may,mon,93.994,-36.4,4.858,5191,1,NA
48,blue-collar,married,no,no,landline,may,mon,93.994,-36.4,4.858,5191,1,9
28,services,married,no,no,landline,may,mon,93.994,-36.4,4.858,5191,1,12
38,services,married,yes,no,landline,may,mon,93.994,-36.4,4.858,5191,1,12
34,blue-collar,married,yes,no,landline,may,mon,93.994,-36.4,4.858,5191,1,6
52,services,married,yes,no,landline,may,mon,93.994,-36.4,4.858,5191,1,12
52,services,divorced,no,no,landline,may,mon,93.994,-36.4,4.858,5191,1,12
33,technician,divorced,no,no,landline,may,mon,93.994,-36.4,4.858,5191,1,13
32,services,single,no,yes,landline,may,tue,93.994,-36.4,4.856,5191,1,6
31,blue-collar,single,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,12
47,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,NA
53,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,4
35,services,single,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,4
58,retired,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,4
39,blue-collar,single,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,9
27,blue-collar,married,NA,NA,landline,may,tue,93.994,-36.4,4.856,5191,1,6
42,admin.,married,no,no,landline,may,tue,93.994,-36.4,4.856,5191,1,12
55,technician,married,yes,no,landline,may,tue,93.994,-36.4,4.856,5191,1,12
49,housemaid,married,no,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,4
42,admin.,single,yes,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,16
45,admin.,single,yes,no,landline,may,wed,93.994,-36.4,4.858,5191,1,13
59,retired,married,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,13
54,blue-collar,married,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,9
55,technician,married,yes,no,landline,may,wed,93.994,-36.4,4.858,5191,1,9
30,admin.,single,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,16
35,technician,single,yes,no,landline,may,wed,93.994,-36.4,4.858,5191,1,16
31,blue-collar,married,no,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,6
36,admin.,single,yes,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,13
46,housemaid,married,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,4
32,technician,single,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,16
25,blue-collar,single,yes,no,landline,may,wed,93.994,-36.4,4.858,5191,1,4
45,admin.,divorced,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,16
56,entrepreneur,married,no,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,16
30,admin.,single,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,12
44,blue-collar,divorced,yes,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,NA
32,blue-collar,married,no,no,landline,may,wed,93.994,-36.4,4.858,5191,1,9
37,services,married,yes,yes,landline,may,wed,93.994,-36.4,4.858,5191,1,12
58,admin.,divorced,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,16
35,services,married,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
49,technician,married,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,13
38,technician,married,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,6
22,blue-collar,single,no,yes,landline,may,fri,93.994,-36.4,4.857,5191,1,6
47,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,6
55,retired,married,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
50,technician,married,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
32,admin.,single,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,16
33,services,single,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
60,retired,married,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
46,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,4
39,technician,single,no,no,landline,may,fri,93.994,-36.4,4.857,5191,1,13
39,services,married,yes,no,landline,may,fri,93.994,-36.4,4.857,5191,1,12
33,blue-collar,single,no,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,9
56,blue-collar,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,13
58,admin.,single,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
44,management,single,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
29,student,single,no,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,12
41,services,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,12
58,admin.,single,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
43,entrepreneur,married,yes,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,12
41,unemployed,married,yes,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,9
39,management,married,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
25,blue-collar,married,yes,yes,landline,may,mon,93.994,-36.4,4.857,5191,1,12
38,self-employed,single,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,16
52,blue-collar,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,4
28,entrepreneur,married,no,no,landline,may,mon,93.994,-36.4,4.857,5191,1,9
24,admin.,married,yes,no,landline,may,mon,93.994,-36.4,4.857,5191,1,9
45,services,divorced,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,NA
42,services,married,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,13
29,technician,single,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,16
34,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,9
47,admin.,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,12
31,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,9
39,management,single,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,16
52,management,married,yes,no,landline,may,tue,93.994,-36.4,4.857,5191,1,13
30,self-employed,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,9
45,blue-collar,married,no,no,landline,may,tue,93.994,-36.4,4.857,5191,1,6
52,admin.,divorced,yes,no,landline,may,wed,93.994,-36.4,4.857,5191,1,16
34,blue-collar,single,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,9
57,blue-collar,divorced,yes,no,landline,may,wed,93.994,-36.4,4.857,5191,1,9
34,blue-collar,married,yes,yes,landline,may,wed,93.994,-36.4,4.857,5191,1,9
40,admin.,married,yes,no,landline,may,wed,93.994,-36.4,4.857,5191,1,16
50,services,married,yes,no,landline,may,wed,93.994,-36.4,4.857,5191,1,4
33,blue-collar,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,6
25,unemployed,single,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,12
54,technician,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,13
33,admin.,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,16
41,management,married,yes,no,landline,may,wed,93.994,-36.4,4.857,5191,1,6
53,technician,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,13
54,retired,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,4
30,management,single,no,yes,landline,may,wed,93.994,-36.4,4.857,5191,1,16
59,retired,married,no,no,landline,may,wed,93.994,-36.4,4.857,5191,1,13
39,admin.,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
40,technician,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
28,entrepreneur,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
38,technician,divorced,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,13
34,services,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,12
37,unemployed,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,13
31,admin.,divorced,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,12
31,blue-collar,married,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
40,admin.,single,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,12
37,admin.,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
36,admin.,single,no,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
37,admin.,single,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
42,admin.,single,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
30,technician,single,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,16
58,retired,married,yes,no,landline,may,thu,93.994,-36.4,4.86,5191,1,9
34,housemaid,divorced,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
40,services,married,no,yes,landline,may,fri,93.994,-36.4,4.864,5191,1,12
48,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,6
30,admin.,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,16
43,blue-collar,divorced,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,4
25,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,9
27,admin.,single,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
47,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,6
52,services,married,NA,NA,landline,may,fri,93.994,-36.4,4.864,5191,1,12
50,technician,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,13
31,services,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
41,entrepreneur,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,16
56,blue-collar,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,4
43,blue-collar,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,9
37,blue-collar,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
29,technician,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,13
49,blue-collar,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,6
48,technician,single,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,NA
42,services,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
32,admin.,single,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,12
43,blue-collar,married,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,4
40,admin.,divorced,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,13
37,unemployed,married,yes,no,landline,may,fri,93.994,-36.4,4.864,5191,1,13
31,services,single,no,no,landline,may,fri,93.994,-36.4,4.864,5191,1,9
46,admin.,married,yes,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,16
38,unemployed,married,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,6
60,management,married,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,16
30,services,divorced,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,9
28,services,married,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,12
42,blue-collar,married,yes,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,6
39,services,single,yes,yes,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,12
45,admin.,married,yes,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,NA
26,blue-collar,married,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,9
33,services,single,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,16
55,technician,married,yes,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,13
52,blue-collar,married,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,12
35,student,single,yes,yes,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,16
59,retired,divorced,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,16
39,technician,single,no,no,landline,jun,mon,94.465,-41.8,4.865,5228.1,1,13
26,technician,single,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,16
34,blue-collar,married,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,9
32,blue-collar,single,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,12
56,management,married,yes,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,9
48,management,married,yes,yes,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,16
38,admin.,single,yes,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,16
41,blue-collar,married,yes,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,6
38,blue-collar,married,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,6
24,admin.,single,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,12
31,unemployed,divorced,yes,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,4
30,blue-collar,married,yes,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,6
40,blue-collar,married,no,yes,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,9
40,blue-collar,divorced,no,yes,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,9
37,admin.,divorced,no,no,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,9
45,technician,married,no,yes,landline,jun,tue,94.465,-41.8,4.864,5228.1,1,16
52,retired,married,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,4
30,student,single,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
26,NA,single,yes,yes,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
39,admin.,married,yes,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
38,admin.,single,no,yes,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,16
35,admin.,single,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
34,admin.,married,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
31,blue-collar,single,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,9
38,blue-collar,single,yes,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
32,admin.,married,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,16
33,unemployed,married,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,9
40,housemaid,divorced,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,12
36,blue-collar,married,no,yes,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,9
25,NA,single,no,no,landline,jun,wed,94.465,-41.8,4.864,5228.1,1,16
42,blue-collar,married,yes,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,4
52,blue-collar,divorced,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,4
46,blue-collar,married,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,13
49,blue-collar,married,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,9
28,technician,single,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,13
31,blue-collar,single,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,4
41,management,married,no,yes,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,NA
59,NA,married,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,NA
34,blue-collar,married,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,9
39,entrepreneur,single,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,6
31,technician,married,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,16
31,technician,single,yes,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,16
29,services,single,yes,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,12
34,blue-collar,divorced,no,no,landline,jun,thu,94.465,-41.8,4.866,5228.1,1,13
39,services,married,yes,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,12
56,blue-collar,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,4
52,self-employed,married,no,yes,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,4
33,blue-collar,married,yes,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,13
38,admin.,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,16
35,management,single,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,NA
32,blue-collar,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,6
40,blue-collar,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,13
48,self-employed,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,16
47,admin.,divorced,yes,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,16
41,blue-collar,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,9
55,admin.,married,no,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,4
40,services,divorced,yes,no,landline,jun,fri,94.465,-41.8,4.967,5228.1,1,12
29,admin.,single,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,16
30,blue-collar,single,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,4
26,student,single,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,12
24,services,single,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,12
34,admin.,married,yes,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,12
36,technician,married,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,12
38,technician,married,yes,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,13
27,entrepreneur,single,yes,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,16
42,technician,married,yes,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,9
32,services,married,no,no,landline,jun,mon,94.465,-41.8,4.961,5228.1,1,12
36,NA,single,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,6
29,admin.,married,yes,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,13
34,management,married,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,16
37,admin.,married,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,16
30,self-employed,single,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,16
53,blue-collar,divorced,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,4
32,admin.,single,yes,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,12
43,entrepreneur,married,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,16
50,blue-collar,married,no,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,6
31,blue-collar,married,yes,no,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,9
48,admin.,divorced,yes,yes,landline,jun,wed,94.465,-41.8,4.959,5228.1,1,12
