Applicants,SalePrice,NumberOfUnits,YearSold,MonthSold,OverallQual,TotalSqFeet,GrLivArea,TotBathrooms,LotArea,ExterQual,FullBath,CentralAir,GarageTypeAttchd,GarageTypeBasment,GarageTypeBuiltIn,GarageTypeDetchd,GarageTypeNoGarage,NeighborhoodBrDale,NeighborhoodBrkSide,NeighborhoodClearCr,NeighborhoodCollgCr,NeighborhoodCrawfor,NeighborhoodEdwards,NeighborhoodGilbert,NeighborhoodIDOTRR,NeighborhoodMeadowV,NeighborhoodMitchel,NeighborhoodNAmes,NeighborhoodNoRidge,NeighborhoodNridgHt,NeighborhoodNWAmes,NeighborhoodOldTown,NeighborhoodSawyer,NeighborhoodSawyerW,NeighborhoodSomerst,NeighborhoodStoneBr,NeighborhoodSWISU,NeighborhoodTimber,NeighborhoodVeenker,NeighborhoodMeanSalePrice
5,319899.9999999969,4,2010,2,9,4087.9223932438745,2822.5866754771673,4,3704.543589409778,5,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
5,239686.00000000035,2,2009,8,7,4123.77881647231,3138.485380488385,3,4719.057527185015,4,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.82978723297
7,249700.00000000885,2,2007,7,8,3997.2936526251324,2735.433546372196,3,4434.471740032109,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
4,113000.0000000026,5,2009,6,4,3330.630619841846,2532.1298962647415,3,2638.7555616481004,3,4,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
2,126999.99999999635,4,2007,1,5,3112.13904416858,1884.3173212201098,3,3726.0161885351126,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
7,177000.00000000602,1,2007,7,6,3385.535684254432,2551.182396629476,3,4873.56529147255,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
1,114499.99999999643,4,2011,9,6,3179.727853067088,2206.1381169645306,1,3301.499116558812,3,2,yes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.79411764728
1,110000.0000000052,4,2010,5,5,2859.237717637645,1641.18115532002,3,3903.374236193588,2,2,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
3,384999.9999999915,5,2011,11,9,4168.486433996365,2900.0622643970005,3,7408.516460460361,4,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.62499999657
1,129999.99999999751,1,2007,2,5,2965.95247092925,2430.9090655083755,1,3565.03352769443,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
5,180500.000000005,5,2008,7,6,3755.691138673203,2503.103963307469,3,4263.910399417671,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
7,172500.0000000083,3,2009,8,8,3674.095643620372,2811.068117102724,5,1612.29676673288,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
7,196500.00000000917,5,2011,8,7,3595.6362593886543,2794.077556044664,3,4529.529398660981,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
2,438780.00000002095,5,2011,10,10,4437.59681298161,3625.90723183295,5,4846.843994976212,5,6,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,309745.58730158804
3,124900.00000000381,1,2008,1,5,2786.6976368596947,1571.4461933422351,1,3583.159326489702,3,2,yes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
4,157999.99999999927,1,2011,5,6,3422.050892010163,2182.28969661334,3,4757.067622455941,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.1749999994
0,101000.00000000026,4,2007,3,5,2868.07948674489,2118.228640284064,1,3583.159326489702,3,2,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
5,202499.99999999392,4,2007,10,8,3692.3933673108513,2442.2375704983297,3,3364.205246667323,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
2,139999.99999999418,4,2010,4,7,3401.085694523177,2785.059658317754,3,4287.944463819728,3,4,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
3,219500.00000000815,2,2009,2,7,3886.234987526532,3053.4179957065,5,4102.72730930971,3,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
4,316999.9999999942,1,2007,10,8,4138.52335010499,3355.700878425465,3,4147.563543327472,4,4,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.50480769144
7,179999.99999999133,5,2010,7,7,4361.59864931094,3179.6778441185747,4,5584.29680134911,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
3,225999.9999999948,3,2007,6,7,3801.307594311667,2560.621396979429,4,4356.489907074109,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
4,79999.99999999853,4,2010,6,4,2717.200807332865,1504.6386876486802,1,2704.7711828594697,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
7,225000.00000000975,1,2011,7,7,4127.36567797712,3234.753652558595,3,5104.19755526343,4,4,yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.83333333308
3,243999.9999999907,4,2007,2,7,4470.857639127715,3190.850938655115,4,4842.379000303311,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
2,129499.99999999623,2,2007,6,4,2915.38360253157,1695.157209452795,3,3689.3203791359774,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.82978723297
5,185000.00000000696,1,2009,12,7,3576.8280944274084,2792.27817575982,3,4257.32205173703,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
3,144900.00000000378,3,2010,5,5,3318.8289587079926,2083.041429150456,3,4268.74074412545,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
1,107399.9999999998,2,2010,5,3,3509.211895813515,2687.056446848881,3,3154.1812398366187,4,4,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
1,91000.00000000125,1,2009,11,4,2669.143536799485,1936.83280466626,3,618.3282917656699,3,2,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.91666666616
1,135750.00000000244,3,2008,4,4,3107.0802138410936,1879.453618303935,1,3904.071111896601,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
2,126999.99999999635,2,2008,1,5,3151.2255964122505,2343.1938494560973,3,3940.884857851407,3,2,yes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.79411764728
1,136500.00000000664,5,2010,4,4,4102.54294687335,2836.646664266478,3,4377.235915774895,3,4,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.4129353235
2,110000.0000000052,1,2009,5,5,2896.243499074915,2275.5544151307495,2,4314.518782832612,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
3,193500.00000000512,5,2009,6,6,3858.4210648361864,3133.4388965870153,3,4746.195756669319,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
5,153500.0000000018,1,2011,3,6,3591.8921768953774,2404.5344085196707,4,2658.09408255347,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.82978723297
5,245000.00000000896,1,2008,10,8,3904.342506295338,2646.048615938175,3,4269.8982653433395,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
6,126499.9999999984,1,2007,7,5,3287.4312696001784,2052.853008441101,2,3998.6126897294484,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
2,168500.0000000077,4,2009,5,7,3067.7581131684146,2555.384617461929,3,3916.8036397557394,3,4,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
5,260000.00000000937,1,2011,4,8,4177.628074368965,3320.270816989225,3,5162.16268863405,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.2844036724
4,174000.00000000585,1,2009,3,6,3371.2676819133035,2643.0774786338757,3,4573.9863645976975,4,4,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
4,164500.00000000594,1,2009,6,6,3048.606616523999,2267.993487040363,3,2402.02840008247,4,4,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
0,85000.00000000393,1,2009,10,3,3569.8762965720875,2608.9997585248293,1,3902.909515300375,2,2,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
6,123599.99999999651,3,2007,8,4,3170.012433190163,1939.95900142768,3,3807.688066350913,3,2,yes,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
3,109899.99999999866,4,2011,7,4,2134.93839166172,2016.1292425209965,1,3583.159326489702,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
4,98599.9999999974,5,2011,12,5,3525.5706570598377,2281.8270904022115,1,3909.868835632954,3,2,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
6,163499.99999999255,4,2009,8,5,3052.105708101355,1898.8173771664951,3,4799.9644258275075,3,2,yes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.73722627718
1,133900.00000000477,5,2007,11,6,4088.3813025947147,3237.4566521464653,3,3583.159326489702,3,4,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
3,204749.9999999967,4,2007,5,6,3614.2270678085024,2852.3129418673793,5,4094.732728225649,3,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
2,185000.00000000696,1,2009,4,6,3302.4589988565185,2551.182396629476,3,4182.9533836024,5,4,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
7,214000.00000000236,1,2011,8,7,3929.861866278923,2670.5887253693104,3,4281.052686188202,4,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
5,94750.00000000256,1,2007,5,4,3120.5352360800925,1892.38967583525,3,4403.180141841107,3,2,yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.71814671837
0,82999.99999999706,5,2010,5,5,2484.9228443531847,1676.756673143955,1,4349.093476450858,3,2,no,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.71814671837
4,128950.00000000127,1,2010,1,4,3321.048375089157,2269.2562099750617,3,4091.1456667468665,3,2,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.3111111112
5,204999.9999999909,2,2010,2,6,3951.9888470676833,2691.866730083776,4,4345.013562670231,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.37209302327
5,177999.99999999616,2,2010,6,6,3527.5225764723514,2804.8301195428335,3,4066.9208816454097,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.1749999994
5,118964.00000000568,5,2009,6,5,2760.725055938535,2618.093615473061,3,3532.7659276695117,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.1749999994
3,198900.0000000074,4,2010,5,7,3513.8091420649134,2270.5179033760646,3,4307.341151354507,3,4,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
0,169499.99999999296,4,2007,6,7,3760.1989012540853,2879.778410412512,2,3730.0797847544977,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
7,250000.00000000428,1,2008,8,8,3862.122281597583,3021.14591817774,3,4102.72730930971,4,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.42452830172
5,99999.99999999718,1,2007,8,4,2913.4798073763,2026.5000502162166,1,4381.249658525828,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
1,115000.00000000151,4,2008,4,5,2805.14161018724,1589.176752476505,1,3224.303496794172,3,2,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.1245901643
1,115000.00000000151,3,2007,8,5,3417.8796535838296,2599.852144474595,3,3909.868835632954,3,4,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.67857142843
5,189999.99999999572,3,2010,1,6,4170.231708611215,2901.740645115335,3,4547.365841362997,3,4,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.37209302327
3,136899.99999999456,3,2011,10,6,3755.1267791801497,2910.939340441074,3,4133.971606515207,3,4,yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.71814671837
2,179999.99999999133,1,2010,4,7,3029.2243734068616,2508.5203737046454,3,3728.049035179688,3,4,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.86274509772
2,383969.9999999818,2,2007,10,7,4284.67687417979,3489.253103598775,5,4222.860643116246,4,4,yes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.72051282084
4,217000.00000000055,2,2007,10,6,4327.9522920470945,3215.699290278315,4,5690.2053508156805,3,4,yes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.73722627718
